rhyme scheme	stanza
ABCA	"Mannen er Saulus, lett nok å kjenne. 
Det navn han bærer dog nå ikke mer,
herefter P åa u1u s, den Guds misjonær,
det navn skal klinge til dagenes ende."
ABAB	"Bak ham, litt etter litt, forsvinner
i morgenens dis den syriske kyst,
med alle de rike, bevegede minner
som fyller med takk hans svulmende bryst."
AABB	"Nå stirrer han fremad — ut går ferden,
ut i den store, ukjente verden,
ut over havet, hvis rolige bølger
hans våkne blikke tankefullt følger."
AABCBC	"Søker hans skarpe tanke å råde
fremtidens dunkle, dragende gåde?
Prøver hans ånd å fange og forme
synenes mylder i skyggenes dal?
Aner han styrken av kommende storme,
bever hans sjel for den kommende kval?"
AABCB	"Hva er hans mål? Hvorfor steg han ombord?
Å vinne for Kristus den ganske jord ?
forhånelsens krone, hans tornekrans,
hver krone av gull og makt skal fordunkle,
hvert herskerspir senkes i støvet for hans."
AABB	"Mot lastens og råskapens stinkende pøl,
mot jernrikets velde og skingrende brøl,
mot Hellas' lettsinn og praktsyke ånd
skal ensom han løfte sin røst, sin hånd."
ABBC	"Akk, eier han krigerens flammende mot,
atletens styrke, den smidige tunge?
Kan vel hans røst som tordenen runge,
eier han ungdommens brusende blod?"
AABB	"Akk, sjelen er fryktsom, kroppen svak,
ungdommens gylne vår ligger bak,
av årenes tall over fire gang' ti
er rundet  det beste av livet forbi."
AABBCDCD	"Og dog — han skal nå sitt svimlende mål.
Om ikke med våben av jern og stål.
Han eier den tro som klipper kan velte,
den kjærlig hets glød som isbjerg kan smelte,
den stålblanke v i 1j e som aldri kan briste,
det blikk som er lukket for vinning og glans,
det hellige sinn som kan ofre og miste.
Kun derved skal seierens krone bli hans."
AABCBC	"Men verket er stort. Det krever en sjel,
hvis indre er lutret, hvis attrå er hel.
Aldri den brennende iver må sløves,
aldri må lekes med lystens spill,
aldri må kallet overdøves,
aldri dempes den hellige ild."
ABCB	"Fluks de fører ham til havet,
hvor et skip ham tar ombord,
for å føre ham til nye
arbeidsfelter på Guds jord."
ABCB	"Ved skipets reling Paulus
betrakter bølgens spill.
Hva skjuler pannens skygger
og øyets dulgte ild?"
ABCB	"Hans tanker går så vide,
eén vei hans lengsel kun,
den skjelver i hans hjerte
og om hans tause munn."
ABCB	"Guds vei er tidt en gåde,
hans planer uten lys.
Tidt sjelens bange klagen
dør hen i nattens gys."
ABCB	"Hva hjertet sterkest knyttet,
det rives grusomt av;
hva tanken høyest bygget,
det sank så tidt i grav."
ABCB	"For Paulus synes veien
i sannhet hård å gå.
Hvorfor fikk han dog ei hegne
sin haves spede strå?"
ABCB	"Hvorfor fikk han dog ei høste
sin grødes gylne frukt?
Hvorfor skal han stadig jages
som hjemløs fugl på flukt?"
ABCB	"Da bøyer til den trette
seg trøstens fader ned,
og sorgens skygger viker
for Herrens stille fred."
ABCB	"For åndens øye funkler
i nattens mørke favn
som solens purpurflammer
hans store mesters navn."
ABCB	"Hvorfor klager dog hans hjerte?
Den dunkle vei er klar:
hva ære dog å følge
den størstes fotefar"
ABCB	"Hvor dypt enn vunden bløder,
hans hånd den læge kan.
Hvor hårdt enn savnet tærer,
han slukker dog dets brann."
ABCB	"Og sjelens harpestrenger
til takk og fryd er stemt.
Når morgenrøden stråler,
er nattens gysen glemt."
ABCB	"Og kampens hærskrik synger
fra troens spente stål. —
Og Paulus sterk seg strekker
mot nye, større mål."
TIAABB	"OPPSANG FOR FRIHETS-FOLKET I NORDEN TIL «DET FORENEDE VENSTRE»
(Tyrol 1874.)
Foraktet av de store, men elsket av de små,
si, er det ikke veien som det nye må gå?
Forrådt av dem som vakt burde være, just av dem,
si, er det ikke sådan at en sannhet står frem?"
ABCC	"Begynner som en susen i kornet sommer-dag
og vokser til en brusen gjennom skogenes tak,
inntil at havet bærer med torden-røst den hen,
da intet, intet høres uten den, uten den."
ABCC	"I Goter-folkets kamper den nordre fløy vi tok;
vårt fane-tak er: folke-liv i frihet og tro.
Den gud som gav oss landet og språket og gav alt,
han finnes i den gjerning hvortil folket ble kalt!"
AABC	"Den er det vi vil løfte, vi mange og vi små,
i fryktløs kamp mot alle som ei ville forstå.
Begynte som en susen i kornet sommer-dag
og går nå alt som brusen gjennom skogenes tak."
AABB	"Det vokse vil til ssorm førenn noen det vet av,
med torden i sin stemme over endeløst hav.
Et folk som føler kallet, er jordens største kraft,
for den må allting falle, det stå høyt eller lavt."
TAABB	"I DRØMMEN VAR JEG KOMMET
I drømmen var jeg kommet helt der inn
på veien hvor jeg skimtet dødens grind.
Som til erstatning for det lange løp
stod jeg befriet for mitt vesens svøp."
AABB	"Jeg var en olding uten hat og nag,
jeg stod hvor dag er natt og natt er dag.
Omkring meg var en hvidhed full av fred
midt i et mørke fjernt bak tid og sted."
AA	"Min verk og tyngsel var ei mer en ve;
hva før jeg så, jeg lengtet ei at se."
AABB	"Min sjel var stille som en øde sjø.
Og jeg var ene, som på ytterst ø
en fugl kan sidde midt i sus og syd
og lytte seg fortabt i havets lyd."
AABBCC	"Således stod jeg av meg selv forlatt,
og sakte grep meg altets tyngde fatt.
Dog var jeg ennå som et usagt ord
der sov i midten av et mektigt kor.
Og i meg brødes enn som strøm mot strøm
den bitre visshet og den milde drøm."
AABBCB	"Hvor skulle jeg få sagt den fulle lyd
av kvalfull lyst og smerteblandet fryd
som toner ut av gjøkens sene gal,
mens nattevinden vifter ganske sval,
og gjøken galer, galer uten stans,
som blødte den ihjel av fryd og kval!"
AABBCDDCB	"Det er jo lykken som har brutt seg frem
med stille vold av all naturens gjem
for å få sagt hva alle hjerter vet
om elskovs fryd og kval i evighet,
men som en mennesketunge ikke kan
og ikke makter, ikke vil og tør
si ut, fordi den vet at elskov dør
når alt er sagt, når hun og han
har sett for dypt i lystens salighet."
AABCDDB	"Og derfor må den gripe til det vann
som lyser nå så blankt mot skogens mørke rand
og si, det er en tåre som er falt
fra mine øyne i den myrtekrans
jeg holder nå i fanget på mitt kne,
og kan for tårer ikke mere se,
og må la gjøken si det alt ..."
ABBA	"Og derfor må den be den lyse natt
innhylle alt i dette irisskjær
hvori vi ikke vet om gry, om kveld er nær,
om lykken er en tapt, en funnet skatt."
AABBCCD	"Og derfor må den la så stor en fred
fra stjerneløse hvelv bli senkt herned
og legge over lengslens dunkle land
med livets fylle over all forstand
det gåtelys hvori den hyller inn
den store lykkedrøm som gjør oss blind,
hver gang vi hører sommergjøkens sang."
TABAB	"DUEN
En due så jeg skjelve
i en stormbyges torden 
dit bølgene seg hvelve,
ble den reven fra jorden."
ABAB	"Jeg hørte den ei skrige,
jeg den ei hørte klynke;
den kunne ikke stige 
og så måtte den synke."
ABCC	"«Drag kun ut! Se jeg er med deg!
Hvil ei, før Guds frelses rikdom
alle folk har lært å kjenne.
Bær mitt navn til verdens ende.»"
ABCB	"Med vemod Saulus griper
sin vandringsstav på ny
forlater tung om hjerte
den skjønne, hårde by."
ABCB	"Som flyktning var han kommet,
som flyktning må han gå.
En stakket fryd! Imellom
kun tvende uker lå."
ABCB	"Det var så tung en vandring,
det var så tung en bot.
Det er som jorden brenner
den trette vandrers fot."
ABCB	"For sine brødre gjerne
sitt hjerteblog han gav
de jager ham som fredløs
henover land og hav."
ABCB	"Hvor skal han hen? Til Tarsus?
""Han husker Jakobs ord.
Hans hjemstavn i det fjerne
blandt fjellene i nord."
ABCB	"Der vokste lengslens vinger,
der fødtes barnets bønn.
Kanhende Tarsus hegner
sin hårdt forfulgte sønn."
ABCB	"Jerusalem har atter
rettferdigheten dømt,
og enn en gang i blindhet
sin nådedag forsømt."
ABCB	"I lidenskapens brynde
den skrek som før: korsfest
Og gikk så ør og lystig
til sorgløs dans og fest."
ABCB	"Det høye råd er rolig.
Det lyktes enn en gang
å slukke opprørsluen
og redde rett og rang."
ABCB	"Når dårene kun tier,
de drømme kun om fred
høyrøstet tross må hugges
foruten skånsel ned."
ABCB	"Jerusalem har seiret,
og falt sitt siste ord
med egne hender dreiet
sin egen skjebnes ror."
ABCB	"Snart slukker nattens skygger
dets store sagas glans.
Snart får det selv å bære
sin skjensels tornekrans."
TABBA	"FORKLARELSEN
Stille over berg og dale
vifter nattens milde ånde,
over larm og strid og vånde
liflig synker fredens svale."
ABBA	"Over støvets lave bo
himlens stjerner rolig smiler;
jordens barn på leiet hviler,
trette træl har funnet ro."
ABBA	"Langt fra menneskenes veie,
på et øde fjell, hvis topp
rager stolt mot himlen opp,
reder fire menn sitt leie."
AABC	"En dog søvnens engel flyr.
Helt til dagens lysning gryr
over fjellets skar og kløfter,
mot sin Fader høyt bak sky"
AABB	"«Allmakts Fader! Di som troner
gjennom evighets æoner,
som ser verdner dø og fødes,
riker bygges, riker ødes,"
AABB	"deg er tidens, rummets hvelv
ubegrenset som Du selv.
Styrk Din sønn! Min strid er hård,
og min vei mot døden går."
ABCDDC	"Dø jeg vil — for slektens brøde
vet Du jeg vil villig bøte.
Grufullt dog er fallets ve,
grenseløst er syndens velde 
gi meg kraft dens borg å felle,
dødens lanse brutt å se!"
ABBA	"Hjelp og disse svake få,
som til sendebud jeg kåret.
Ringe frukt min sæd har båret;
tungt dem faller å forstå"
ABBACDDC	"Dine veier. Deres ånd
er av jordens syner krenket
og til jordens veier lenket,
og så sterke, seige bånd
binder dem i vanens natt.
Deres mot er lite mandig,
hjertet varmt, men ubestandig,
viljen hel, men vek og matt."
AABCCB	"Fader! Nå må tåken svinne.
Nå jeg vil Din dag skal rinne.
Nå må deres bundne sans
løses helt, så de herefter
kjenne kan mitt rikes krefter,
og kan se dets stråleglans.»"
ABCC	"Se, imens han ennu ber,
blir som solens lys hans klær,
og en skjønnhet om ham stråler,
som ei jordisk øye tåler."
ABAB	"Og i dette klarhets veld
ned fra evighetens sommer
til det ringe jordens fjell
tvende menn i solglans kommer."
AABBCCDEFFE	"Dagen demrer. Nudetre
våkner. Er det solen?! «Se!»
Glansen deres øye blender,
og de ord de hører, tenner
deres sjel i hellig glød.
Hør! Der tales om hans død
som en fast besluttet sak;
ikke som et nederlag,
men en seier uten like; 
derved skal hans kongerike
blomstre som en evig dag."
ABBA	"Hvilket veld av salighet
rummer ikke denne time,
da de ser en liten strime
av hans makt og herlighet!"
AABCBC	"Hvilken lykke! Hvilken hvile!
Og på Ham de kunde tvile!
Kunde de få bo og bygge
hvor de ser slik lysglans funkle,
aldri skulle noen skygge
deres veier mer fordunkle."
AABBCDDC	"Se, hva kommer? Lyset svinner,
og en sky om bergets tinder
samles. Slagne de i støvet
faller sammen som bedøvet
under angst og bange stønn.
Da fra skyens mørke gjemme
lyder underbart en stemme:
«lør ham!l Denne er min sønn»"
ABBC	"Skyen viker.
Overveldet av hint syn og hine ord
Mesteren de skjønn og stor
ser i solens lys på fjellet."
TABABCC	"DEN LANGE TAUSHET
Ikke fordi jeg har glemt dine smil
har jeg tiet så lenge.
Jeg fryktet min sang skulle gå som en fil
over skjelvende strenge
og skjære de hulkende toner itu
som ingen har hørt uten du."
ABABCC	"Ikke fordi jeg har glemt dine smil. 
De begynte så stille,
som kom de fra himle bak blåinende mil 
for å se hva du ville. 
Og møtte de ikke din sjel på sin vei
som bad dem å flyve mot meg?"
ABABCC	"Nei ikke fordi jeg har glemt dine smil,
til det siste, det triste,
som vidnet om alt hvorom jeg var i tvil
og om alt hva jeg visste.
Men bare fordi jeg var redd for å gi
min lykke en hård melodi."
TABAC	"FRED PÅ JORDEN 
I stille nattefred driver vår jord
gjennom rommet.
Månen står gylden, full og stor,
og havets vind er forstummet."
ABAB	"Kun dønningbrus som en overstått gru
i nære og fjerne strender,
og langt derute et brott som ennu
med flakkende lue brenner."
ABABCCDDC	"Det brenner ned og det blaffer bort,
fred faller på mørklagte viker,
og fjordgapet står som en lysende port
til oppladte drømmeriker.
på engen som står salig grønn
og drikker lys av himlens brønn
i denne krans av løvsalstrær.
Jeg lover deg ved alt som er
et evigt liv, o livets sønn!"
ABAB	"O all den søndenvind jeg har kjent
hvor har den fyllt meg med sus og sange,
hvor har den sinnet mot somren vendt
og gjort min lengsel til lykkens fange!"
ABAB	"Nå tørster jeg som en gammel mann
mot sol og sommer og søndenvinde
og alle dikt til mitt vinterland
er gått meg sporløst og lengst av minne."
ABAB	"Hvor er det mulig at du min sol
først nå i sannhet har kunnet seire.
Hva var mitt hjerte dog for en pol
som du et liv måtte slik beleire!"
ABABCD	"O milde bølger bryt nå herinn,
begrav meg helt under deres kammer,
så denne skjærgård i sommervind
i evighet mot sin himmel flammer,
i evighet med sitt hvite sprøyt,
i evighet med sin bølgevrimmel"
AABB	"ga ånden høye tankers flukt
og lengslen denne stille bukt,
hvor drømmen kunne gå til ro
på månelysets strålebro."
AABBCC	"O underfulle menneskeferd,
den var vel all vår møye verd!
Hav takk for smerte og for lyst,
i hjemmet her på denne kyst,
hvorfra vi ser den fjerne strand
vi vet er livets land."
ABAB	"Lær meg, Gud, min synd å kjenne,
og min skyld meg åpenbar,
at min arme sjel må vende
seg til deg som hjelpen har!"
AABBI	"La min lengsel veien finne
til det hjem hvor du er inne,
la min anger, sukk og savn
dra meg inn i din favn!
(L. 99, 1.)"
AABCCB	"Jeg stirrer ut på livets dunkle bluss,
og tung forakt har gjort meg kald og stuss.
Hvor langt skal du, o kvinne med dit barn?
Deg vil jeg ikke spotte, skjønt jeg ser
at også du er skyld i alt som skjer,
og just din usselhed er livets garn."
AABCBC	"Men denne tåre dér ved øyets dyp
gjør meg til hund, min stolthed til et kryp
Det mørkner mer, og se, i rutens glar
vår lille verden driver ut og inn!
Snart er den borte, snart den står der klar
og viser kald sitt tomme avgrundsskinn."
AABBCCDD	"Hvor mørket dog forstår med hån at le
av disse ansikters forstumte vé!
Så dypt du spotter oss, o gud, at vi
som mere ved må dine fiender bli
og ta hele jordens armod inn
i våre hjerter, slå vår tanke blind
og for all evighet formæle oss
med død og fattigdom og sjeler tross!"
ABA	"Blandede med krydderdampe råtne oljer lukter.
Og gjennom kraners jammer
hører man drivene, som oksekoblet tukter."
ABACA	"Og menn i sorte hetter på ryggen bærer sekker
og stiller dem i rader
mot veggen, hvor de troner som mumier i rekker;
og gamle rustne plater
som smuldrende likstener veggens nisjer dekker."
ABACA	"Når døgnet sakte vendes mot mørkets sorte strime,
blir dokkene til øder.
I luften hviler minnet blott om mennenes stime;
og kun bølgene støter
sine snuter imot kaien i time etter time."
ABABC	"Da hersker der i hvelvene stillhet, og der fødes
et andet liv derinne.
Sopper gror av støvet, og de glemte skatter ødes
begjærlig og i blinde
av forgjængelsens larver, hvis verk kan ikke bøtes."
ABABA	"Der stiger milde damper fra forråtnelsens dekokter,
de grønne ruter dugger.
På det som skjer i mørket kun den døde måne vokter,
mens de halvblinde glugger
fortaber seg i skyenes nattlige tokter ."
TIABAB	"GASSKLOKKEN VED NYBROEN
In memoriam.
Nå river de den gamle gassbeholder,
og klinkehamrens kolde, skarpe klang,
de rappe slag mot naglestålet, volder
en svie i mitt sinn: det var engang."
ABAB	"For denne gass-tank hører med i bildet
av livet mitt de første unge år,
den tid som jo er sangens rike kilde.
Nå skal den falle. Klinkehamren går."
ABAB	"Så skjønt det var i lyse sommernetter
det runde, mørkeblåe berg i vest!
Av byens mange rare silhuetter
er dette den jeg husker allerbest."
AABB	"For selve kuppelen med gassen i
steg høyest sommertid, når folk var fri
og var på landet for å feriere.
Når høsten kom, da sank den dagstøtt mere."
ABAB	"Ved dag stod bjerget truende og stengte
for himlens lys — en kullstøvsky omkring.
Ä Gud, det kunde få en til å lengte
mot alle verdens underlige ting!"
ABAB	"For bak det svarte fjell med kullstøvskyen
lå eventyrets endeløse land
den store, brusende og fine byen,
og gjennom den en slottsvei: Karl Johan!"
ABAB	"Ja, der lå byens vest med stille gater
og lyse hus imellom blomstertrær,
hvor det på portene hang gylne plater
med navnene på dem som bodde der."
ABAB	"I syd, med gråstensmurer ned mot sjøen
stod byens gamle borg  og der var bryggen.
Og utpå fjorden vugget Hovedøen,
og lenger ute blånet Nesoddryggen!"
ABAB	"Og skip, så svære som den største gården
i gaten hjemme, dampet der avsted.
Man tenkte ofte og især om våren:
Å, den som bare kunde være med!"
AABB	"Man nærte ville planer om å rømme 
for gråe gater avler røde drømme.
Men alltid kom man hurtig til seg selv,
den mørke gass-tank var et grensefjell."
ABAB	"Og derfor holdt jeg av den. Mine drømme
er blitt trossig sang i skyggen her.
Nå har jeg ingen planer om å rømme,
jeg elsker byens øst, så grå den er."
AABB	"Jeg hører klinkehamren slå og slå,
og det gjør bittert vondt å høre på.
Det var så skjønt det svarte berg i vest.
Det faller nå. Og det er også best."
ABABCCDD	"Nå er det en som gjør seg sine tanker:
En sotet gassbeholder, er den skjønn?
Vel var dens klædning ikke villvinsranker,
den stod der svart og grå, og ikke grønn,
og det er sikkert nok et kraftig aber.
Men jeg har engang hørt at en araber
har sagt om ørknen sin, at den var vakker,
skjønt uten skoger eller blomsterbakker."
AABBI	"Lov da den Herre, min sjel og hva i meg mon være,
alt som har ånde, opphøye hans store navns ære.
Han er deg god, å gjør ham aldri imot!
Amen, han selv deg det lære!
(L. 157, 5.)"
TAABCCB	"FJERDE SANG
På Stamsund i Buksnes der bor det en kar
som fiskerne kaller for Nordlandets tsar,
han ry er navnkundig i traden.
Han tvinger av berget en voksende by
med kaier og lager og piper i sky,
og er som en trollmann i leden!"
AABCCB	"Her var det i brennevins-langernes tid
at spunsen ble åpnet og alt gikk på glid,
og brennevinsbekkene bruste.
Da tok fiskeren loven i selv egen hånd
og hugg over tønnenes gjorder og bånd,
og hver pinne i klippen de knuste!"
AABCCB	"For er kulden fortredlig med sjøskvett og sprøyt,
blir varmen dog verre av brennvin og støyt,
når selv tanken blir innsvøpt i tåken.
For her gjelder det nettopp mens fangsten går på
at fiskerne trygt kan på pliktene stå
og at hånden er villig og våken!"
AABCCB	"Her reiste man kirken igjen på sin tuft
så tårnkorset løftes i solmettet luft,
sitt stilpreg selv kirken forandrer.
Men bygge det gjør man da oppe i nord,
så tårnene tegnes mot klipper og fjord
hvor hen du i landet så vandrer."
AABCCB	"En mil ifra Stamsund, så går'! du i Hol
hvor Offerkamsøya er blodig av sol
og flammer mot midnattens stunder,
mens Buksnes og Balstad de blåner i syd,
her hviler om marken en fred uten lyd
hvor engenes gullblomster blunder."
AABCCB	"Men følger du landveiens støvete spor,
snart går du om myra til Borge i nord,
langs vannenes himmelblå kjeder.
Halvt skjult inn i skogen står markenes bær,
de drikker sitt krydder av myrsøkk og kjerr
og rødner i solvarme gleder."
AABCCB	"Og tenk når den veien engang fører frem
fra innerst i Raftsund og utad til dem
som bor mellom øygardens revner ?
Da blomstrer vårt tuntre langs liland og tind,
når veigrener føyes i stamveien inn,
og viser hva samholdet evner !"
AABCCB	"Velsignede gårder om viker og ness,
med soløyestjerner i engenes gress,
og med blårøyk av torv over marken.
Se humlen som hang der så sort i sin snor,
hvor duggfrisk den nå over husene gror
og kranser sitt løv over arken !"
AABCCB	"En spovehan seiler så døgnvill omkring.
Den henger i hvelvet så lett i sin ving
og fløyter i nebbet sin klage.
Men selv har du tatt deg en kvil på din tur
og smelter deg inn i den vide natur
fra fjellet til fjære og hage."
AABCCB	"Se ytterst i vester hvor lyskjegler flyr
sin runde på hvelvet fra Skumvær fyr,
og bårer om tårnet seg ringer.
Der ser du i brenningens mektige larm
all Lofoten strukket fra land som en arm,
og her er du hengt i dens finger!"
AABCCB	"Hit seiler man gjerne fra Røst i sin båt,
to timer i sjøen så trøyen blir våt,
mens din tanke i kjølvannet peiler.
Her för han Quirinus med alle de mann
på attende dagen, og stundet mot land
hvor klipper om Sandøya steiler !"
AABCCB	"Men siden så førtes han også til Røst,
hvor kroppen fikk føde og hjertene trøst
hos folket og presten på stedet.
Her sier han selv i den bok som han skrev:
Her lå ut i havet et Eden og drev,
så inderlig hegnet og fredet."
AABCCB	"Her tørret man fisken, og buntet hver vekt,
og stablet en vårdag sin fangst på en jekt,
så stolt som på havet den svømmer.
Så för man til Bergen og tok hva man vann,
og søkte på nordvei ved Rørvik mot land
og kjøpte i Namsen sitt tømmer."
AABCCB	"Her ligger i havet de hundrede skjær
hvor havsulen spiler de drivhvite fjær
og skummet i havpalmen gynger.
Her bølger og Røstsletten vårgrønn i hav,
mens steinkirken ligger i solen som rav
hvor vinden om murene synger."
AABCCB	"Og ute på sletten bak steingjerdets hegn
står klokkehustårnet med hette og tegn
og ringer den trette til hvile.
Men mange og senktes til hvile fra land
og hilste godnatt i det blåanende vann
og seilte de evige mile!"
AABCCB	"Og gressgangen her den er aldri for snau,
her trives om landet så velpleid en sau
at dens ullrull er svarlig å skjære.
Om alle de øyer den spreder sin fold,
og sjelden er vintren mer iset og kold
enn at utganger-smalen kan være."
AABCCB	"Men Værøya ligger tre timer herfra
og løfter på Måstad sitt mektige sva,
hvis steinbringe sollyset varmer.
Og fjellslåtten vokser i lien så grønn
som heller seg flogbratt, forreven og skjønn,
mens du klatrer med ben og med armer."
AABCCB	"Og inne på Måtua, herlige syn
som ringer seg inn under storblåets bryn —
en verden i øyet du fanger!
Men nordpå er havssanden gyllen som korn
hvor sollyset flommer om Nordgardens horn
som høyreist i skyskodden stanger !"
AABCCB	"Der flyter og kirken og gården i ett,
mens østenfor der i en blå silhouett
står Moskenesøya og raker.
Her fletter og båren sin skumhvite snor
langs stranden og gressgangens bølgende jord
og åkrenes vårpløyde flaker."
AABCCB	"På Sørlandet ligger så gårdene spredt
med kriker og kroker og bukter i ett,
mens Gull-akslen gylles i fellen.
I vester står Måhornet rundsvervd og kvast,
og inn over Rognan går skumglade kast
mens skyggene lenges mot kvelden."
AABCCB	"På Moskenes ligger det vidgjetne Hell
hvor straumfaret hvirvler fra morgen til kveld,
hvor båren er farlig å pløye.
Her må de i båten og handle i Å,
vel stråler nok fjellet, men heller du må
på straumskavlen feste ditt øye!"
AABCCB	"Det gjelder å fare når skiftet er nær,
hvis springfloden ikke er hardhendt og svær,
så ror du til hen på tre timer.
Men så kan du vente at styrken tar til
at sjøen i fallet blir ørsken og vill
når malstraumens stormklokke kimer !"
AABCCB	"Da hvirvler alt havet en halvmiles leid
og koker i evjer rett inn under Rei,
skjønt her er det sjøkallen fisker.
Her fester han tauget i krake og dregg
og haler og firer langs Rødøyas vegg
mens skumdrev om stevnene pisker !"
AABCCB	"Ja, ro deg en sommerdag halvtimen ut
hvor Svarvkallen ligger i salthvite sprut,
hvis i larmen du ikke forskrekker,
så har du et minne om fiskerens kår,
så ser du hvor slaget i skavlene står
med de djervstyrte, stevnhøye snekker !"
AABCCB	"Fra Havnøy og Reine til Bogen og Å
der troner et fjelldrag i ett med det blaå,
hvis tinder du neppe nok nevner.
De ligger i rekker, i tverrdrag og ring
og gjør omkring vannene stupbratte  sving,
hvor du går i da bunnløse revner !"
AABCCB	"Og er det vel ofte langs fjellene armt
i midtsommerheten da blir her så varmt
som stod du i sydlige egner.
Langs bekken hvor skyggen blir blålig og mørk
det kvitner som svanehalser av bjørk
i grønnsvær av bugnende bregner."
AABCCB	"Fra Krokvannet vandrer du fjellsiden opp,
da driver du solskinnet inn i din kropp
og skaffer deg helse til gleden.
Fra fjellvannets dyp til den snedekte tind
der ser du i steinrikets bølgedrag inn
som ruller så mektig langs leden!"
AABCCB	"Men Merkur som vidt over rikene fløy,
med vinger på hælen, steg ned på vår øy,
hans runddans skal ingen mann tegne.
Han stillet seg inn mellom hyller og disk,
men vilde han kjøpe og handle med fisk,
da satte han bopel i Reine!"
AABCCB	"På dyphavets banker i tare og tang
har fisken i sjøen sin hemlige gang,
min sang jeg den svømmende vier.
Der svinger han sporden og spiler sin finn,
og heiser sitt seil i den drivende vind
som stryker langs havdypets stier."
AABCCB	"Hit styrer jo torsken sin sydvendte leid
og stevner til bryllup på banken som skrei
når mørketidsnatten er over.
Her gyter han rognen som flyter omkring,
og gjør over Vestfjorden veldige sving,
om stedet jeg ingenting lover !"
ABCCB	"Først var han kan hende ved Myken å få,
så setter du kursen for Mosken.
Snart går den på banken, snart langs med dens egg,
mens straumdraget vifter dens sjøgrønne skjegg :
slik kjemper vår visdom med tosken !"
AABCCB	"Men stundom for Høla han legger seg inn
så flatt som et gulv under bølger og vind,
da får du ditt varsel fra «Hjorten».
I fiskeflokartet dens stilling du får,
hvor loddskuddets kurver i sjødypet går,
der kan du studere rapporten"
AABCCB	"Så går han en morgen i flokk fra vår fjord
og flykter i stimer til Finnmark i nord
hvor sjøen er mørk under skodden.
Der søker og småskrei mot kystene inn
og eter til buken er utspilt og stinn,
der fetes de begge av lodden."
AABCCB	"Der svømmer og ellers i fjord og i vik
en torsk som i formen er storskreien lik,
med bukfinn og skjegg på sin hake.
Om fargene skifter med tang og med bunn,
med r'en i måneden den holder seg rund,
og vil som en herrerett smake!"
AABCCB	"Og brosmen og langen de svømmer og nær
fra havet og inn mellom holmer og skjær
med uggen fra nakken til sporden.
Den snor seg i vannet som ålen så frisk,
hvor så du på hjellen så herlig en fisk,
så snehvit som flesket på svoren ?"
AABCCB	"Men hysen den bærer på føflekken sort,
den visner på veggen og skrumper helt bort,
men er som en luksus i boller !
Og kokes den straks du har pilket den opp,
og gir den en omgang med smør fra din kopp
så lover jeg velsmaken holder !"
AABCCB	"Men seien den snuser langs fjære og ur.
Den springer til værs mens i lyset den snur
og nyter vår midtsommers gleder.
Den pisker opp sundet i drivende flak,
og hopper i sjøflatens bølgende tak
i dansende folkeleikskjeder !"
AABCCB	"Og vet du det ikke, så merk deg det straks
den kalles langs kysten skomakerens laks,
en laks må den kalles med rette.
For røket og skåret i skiver på glass,
og myknet med olje så vidt der er plass,
det kan du til gjestebuds sette."
AABCCB	"Og småseien, morten som vel er dens navn,
den yrer om holmen og fyller vår havn,
da firer da hoven fra ripen.
Så slår du i sjøen det blinkende flu,
da er den på pletten, det skjer i et nu,
da fanger du stimen i glipen!"
AABCCB	"Men dypt ned på bunnen er uerens sted,
der finner du steinbit og gullflyndre med,
med pengene stukket bak skinnet.
En gullfisk er ueren også blitt kalt,
den smaker i alle fall lettsprengt med salt,
men rognkjeksen er som en pinne!"
AABCCB	"Men steinbiten boknes, da smaker den best,
og flyndren på fatet den er som en fest,
selv om kveiten er basen for alle !
Den er vel i havet den stauteste bas,
med vinsjer i skipet av havet hun dras,
hun er for vår dronning å kalle!"
AABCCB	"Av matstykket skjærer du reklingen av,
av finnstykket skjæres den fineste rav,
som nytes av voksne som barnet.
Hun fanges på lina med angel så stor,
en vårdag du ser den langt inn i vår fjord
da takes den også med garnet."
AABCCB	"På gløttbotnfiske med pigglodd og snor
når flyndren du spidder, du ser den så stor
som en steinhelle ute på grunnen.
Ja, der kan du se i det speilblanke vann
på røde koraller, på havgress og sand,
hvor fiskene tumler på bunnen!"
AABCCB	"Vel kalles må glattrokken også en fisk,
skjønt stygg som kinesern den bærer sin pisk,
og flakser med finnenes vinger.
Den spises i syden, her kastes den ut,
den regnes som ufisk, som slimål og sprut
hvis slyarm i dypet seg svinger."
AABCCB	"En håkjerring så jeg en dag på vår kai,
på tanngard og gjeller den var som en hai,
storfelt, men svai som en sabel.
Forsluken og doven, tyvaktig og grisk
den flerrer i garnet og eter vår fisk,
og svelger ned lina med kabel!"
AABCCB	"Men ålen er fisken med avart i form,
den snor seg i vannet så glatt som en orm,
og bukter seg mer enn den svømmer.
Den gyter i Golfen, men driver mot nord,
hvor glassålen krysser mot blankålens spor,
der havet om kystene strømmer."
AABCCB	"Men silden den regnes i fire slags sild!
Det er småsild som farer om kystene vill,
og storsild for møringens tønner.
Det er vårsild som fanges litt lenger mot syd,
men fetsilden det er vår nordlandske pryd,
hvis fangst deg for umaken lønner!"
AABCCB	"Når sølvstimen meldes, det skjer jo iblandt,
da setter det budskap all verden på kant,
og skipene tøffer og damper.
Snart tindrer all fjorden av lys imot sky,
det glimter i mørket som foran en by
med lykter, lanterner og lamper !"
