sent_a	sent_b	rhyme
Da taler alt med samme munn	som favner alle veseners form,	0
der alle makter som med redsler truer,	og kraftens skygning blander seg deri,	0
hos folket og presten på stedet.	Her sier han selv i den bok som han skrev:	0
Vi står i kveld med spente sinn,	og ser det gamle år gå inn.	1
skal mitt folk sin frihet vinne.	Men vi reiser ei i blinde:	1
en verden i øyet du fanger!	hvor sollyset flommer om Nordgardens horn	0
og Øyet ingen utsikt får,	så fritt står hav og fjerne toppe.	0
Skal folkets hyrder aldri se	sin egen blindhets dype ve?	1
Just her i øst hvor mangt er grått i grått	men ei til lyst og ei til glemsel blott.	1
Eiet jeg intet? Jeg eiet min drøm og min trossige tro	høyt over Krasnaja-Plassen — det evige opprørs symbol!	0
Litt marknadsstøi møter vi hvor vi drar hen.	og hvor kreftene gjærer der skal det nok gro,	0
det er for sent! For marken må forsvares	Og fedres kraft skal hevdes og bevares	1
både du og dine svenne.»	lett kan det hende,	1
ei alle det maktet ennu dessverre.	en langsom kamp for å føle seg herre;	1
seilte dog ut i morgenrøde	frie som falker på morgenvind.	0
Så svinger portene, så skriker hengsler,	og menn og okser over broer drives.	0
går opp i klang og duft mot himlens buer,	må tape seg i vårens sympati	0
Nå mørkner det. Imorgen må de flytte.	Her har de ingenting å gjøre mer.	0
Men rolig som en tanke over oddene på vakt	sneen dekker lyngen og den purpurrøde prakt	1
Denne Gud som himlen kroner,	ham kan ingen innesperre	0
fisket går bra.	står seil innover derute fra;	1
Blytamp, Fryden, Blindebrottet,	Heklefanten, Storekult,	0
mot evighet, så fortell:	en strofe av livet selv.	1
Deres kongelige høyhet er inkognito i byen?	Å, men kjæresten vil kjenne deg på luggen under luen,	0
jambred ham, til krig som tinge,	Karl den tolvtes hatt	0
deler av din ånd i meg må brenne;	Og han taler: «Gi meg nå tilkjenne	1
utenfor, hvor intet hemmer	medens tusen hese stemmer	1
Går bølgen altfor vill og hvit,	mer lystelig enn den!»	0
Du ønsker: la hans natt bli god,	da vil det bli god natt!	0
Det larmer som der hadde ramlet ned en huggestabbe,	dog glir han likefullt og triller ned en seks-syv trinn.	0
kun blinde dårers tidsfordriv —	nå ble det ham det dype leie	0
et kvad der egoistens stemme runger	En smule stormvind i de trygge havner,	0
seg til deg som hjelpen har!	og min skyld meg åpenbar,	1
jeg fattet det bedre hvis murene brast	og tungt og fortettet er gåten hernede,	0
Og kjærest av alle våren,	Kongskollen stod som skåren	1
og herskerspir, og høye kongetroner; 	jeg kogler frem all verdens prakt og glans,	0
Så kom Guds svar.  Hvor før var død,	med blomst på kinn, med smil om munn,	0
hør sultens skrik i livets morgenskove!	Dere menn som sover skal ei mere sove,	1
Krone de skal hans forhatte tinning	og kreve tilbake med renter hans ran.	0
Hvilken skjensel!l Hvilken jammer	sine synders beske ve.	0
elskeren som elsker uten grense,	sky og stjerne, månelys og natt,	0
Så en dag med mødig fot,	lykken i den milde luen.	0
med fjærene fine!	kom, duerne mine	1
I Efesus han står som hjordens vakt,	Så skriver Paulus. Sterke, ømme ord;	0
La tørres din torv og la tørkes ditt høy,	Men skjules dens glans i en skyggefull egn	0
Slik var jeg kommet: en pilgrim med hjertet i skjelvende sang,	med trær som forsmekter på stengrunn, min gates fortvilede trær.	0
Og harm i hu han midt iblandt dem stod:	som dere ved deres forherdelse forsmår,	0
l Det flammer fra faner på alleslags sprog	Og radiotårnet har hundrede jern	0
taler varmt sin slektnings sak:	Skal da hele livets sti	0
ser asken, ser pipen hvor gården brant,	du kommer i hu...,	0
til Bergen og så til den navngjetne strand	hvor Grønland av havet seg hever.	0
aldri kan til Gud de finne	snart dere kjenne vil det er fra Gud!	0
nikke vil blant busk og lyng	og små barneminner	0
Men kan du heve opp de skjulte skatter	og følger strømmen i en banet retning	0
En ungdom som er sterk og sunn,	er vekst i karakterens grunn,	1
det første man møter er Andøyas svar,	hvor fyret med lysøyet glipper.	0
en glattslipt ametyst,	alle tider på denne kyst.	1
Nedad 4å ss os klippefulle skrenter	når han raskt til havnens blanke speil,	0
Ti fariseernes parti	med Paulus samme tro forener,	0
de følger ham trolig, som rasende dyr.	når skumringen faller, når morgenen gryr	1
i denne trøstesløse, svarte by	hvor solen bare er ved tidlig gry	1
og ror, ror, ror...	Som fisk i maskenes spinn	0
når stormkastet svinger om tårnet med ul,	og lyttet til toner av hele den vår	0
trangen til skjønnhet, til dåd, til det rene!	høyere, høyere, frem til det ene	1
og ble for en konge å kalle!	den siste han kjenner vi alle!	1
Og seirens dag ble sorgens	ved kongens bitre gråt.	0
mot kronen senker sin sterke vinge.»	flyter dets safter, modnes dets frukt,	0
Trompeter, blåst De gav oss for vår verd	Og edelhet får leve i vårt hjerte.	0
dem England gav deg, engang det var fred,	i evighetens sjel, da kan igjen	0
Alt truende skyer	for natten og undergangen å melde.	0
Kongskollen stod som skåren	som drømmen hvorfra du kom.	0
Dagen som de gamle skimtet	dagen som i syner glimtet	1
faller sammen som bedøvet	«lør ham!l Denne er min sønn»	0
De skotter til fabrikken med et gys:	med blanke øyer ut i dagens lys.	1
Men med tomhets praleri	og forslitt sofisteri	1
Og ofret var det kjære barn,	fra livets fagre forårsfest.	0
Paulus nøler. Dagens minner	blekner for hans syn, og svinner.	1
Men småsjøen kommer så tett fra nord	at båene dekkes av skummet;	0
en vise, hvis tekst var et tall.	Jo det var en underlig trall!	1
uten brist og uten mén,	verdensaltets suveréen,	1
vår Gud er gledens skaper, Baal.	i himlens rund, i jordens egne,	0
flyr drømmen som en fugl fra gatens sprekk	og spiler vingene i vindens trekk	1
roper med hele sin stemmes makt:	«Spar dog ditt liv! Vi er alle tilstede.»	0
Der ute fra lokker et dårende brus 	alt, alt har forandret	0
og alt det jeg led,	Det skjen, det sang av fred,	1
Mine træller skal lyde, ti jeg befaler.	føle han skal hva min makt kan formå.	0
jeg har lært å ligge død og bie	Jeg er bølgen, jeg har lært å tie,	1
fra tungvint dagverk og fra mange strider,	og hårde minner med sitt skinn forgylle,	0
Denne tro ham ei beskjemmer.	blomstrer det som vår og sommer,	0
mellom hoffets danserinner	jeg kan lette ditt humør:	0
og hjertet har smeltende stemme,	så hjertelig møtes som hjemme.	1
i minnet skjelver dog en klang.	Den toner bort den blide sang;	1
Så slukkes vindusradene, og søvnen fanger inn	Og gjennom gatemørket suser nattens tunge vind.	1
Mesteren med vemod skuer	snart er svakhets slukte branne.	0
av myrter og palmer og pinjer.	av skarenes brogede linjer.	1
Neste gang jeg skal hive deg, må du ha med lite niste.	Hans Bugge var så navngjeten en mann,	0
i hans arm satt hel og holden	bruden med sin krone på.	0
Fåfengt. Intet synes hendt.	selv i fangens ledebånd?	0
Ørknens sønn med solbrent hud,	alle ett i samme ånd !	0
om det er flyktig, lite eller stort,	Da er det tid å legge akk og ve til.	0
skriket fra en arm besatt.	gjennom synagogens stillhet	0
mot himlen igjen	så natten blir klarere ennå enn dagen.	0
snart samler alt og alle seg om én.	På slottets tak han drev sitt narrespill.	0
Bak den er det nye blitt til.	Se grensen! En linje av ild.	1
Jeg senket meg dypere og stod på en strand	vil jeg huske til evighetens ende.	0
så fossen fikk bruke sin veldige kraft	til glede for alle slags yrke.	0
jeg har næret de utstøttes tørste	etter hevn over trellenes stand.	0
Lyset har tapt i sin lydløse kamp,	himmelen hvelver de dunkelblå buer,	0
Fanger skipet nå forlater,	blir ei av bevoktning krenket.	0
Jeg vil dø i et syn	av vår jord	0
så får vi mat i Jesu navn.	Deg, Gud, til ære, oss til gavn,	1
Her fylles nok byen hver landliggedag	når fiskerne møtes i tusner av lag	1
i den korte, elektriske dag.	som i nerver der klør av behag	1
Og her begravet de så hans ben	Jeg tror det snarere er en drøm,	0
Riket vil på deg jeg bygge,	som ei helvete selv kan rygge!»	1
er man blitt trygg for livets ironier:	for denne rene lov hver mislyd tier.	1
og sang over blåmyra fiskerens dikt	om nordlandske vilkår og evner.	0
Der ligger en hummer og fråder svakt	med sin klo i likets skjegg...	0
Og for hans tanke halvglemt glider	et Herrens ord fra gamle tider,	1
Farvel, jeg er voksen, og livet er mitt land,	er dødsriket ute av sikte . . .	0
med slik en makt i hjertet inn?	«Den Gud du taler om, er min;	1
Spar deg for døden  et ord av din munn,	du blir verdens herre i samme stund.	1
Akk, han kom forsilde. Graven	hadde håpets lysskjær slukket.	0
Bestyrtet står kongen. «Min sjel, forsann,	han lot seg forstyrre av former og skikke.	0
Gud mildne syndens sår og skade	og spredes rundt som visne blade.	1
Fåfengt. Intet synes hendt.	fangens skjebne i sin hånd? 	0
så ble han syk av lengsel til sin egen muregård,	For da han kom på gamlehjem på landet her i vår,	1
De egg-rike høns og den vesle kanin,	de blomstrer og surrer: Vår ære er din!	1
Fra en fjern, en ødsel kyst	Skipet seiler ei for lyst.	1
hverken vismenn eller dårer	hvorfor han i rette stund	0
Og ønsker du midt inn i strevet en spøk,	hos halvkaren Ivar og høvedsmann Mads	0
Så trådte de frem og tok fatt med bønner,	de danset rundt altret, smykket og sminket,	0
da bevet i tonenes sukk et navn —	det hadde hans sjelero røvet.	0
ingen mannemakt kan temme	opp for strømmens sterke brus —	0
slo østens sønner opp sitt bo.	I disse egnes tause ro,	1
Dog, han lenges. Mot det fjerne	og for nye felter dyrke.	0
«Såsant Gud lever, for hvis ansikt jeg står,	ei regn eller dugg i de kommende år	1
søk det og dyrk det,	øk det og styrk det	1
med brak og brusen i dens kløfter	hvor skumringen sin andakt breder	0
— Over deg står skjeve huser	Vekk fra gaten troll og buser,	1
har håpet mot himlene bygget en bro,	en stige som lyser i døden!	0
aftenbønn bever i ord og i duft.	Vesper det ringer, i rødmende luft	1
Kun for å slepes til fengslet avsted.	uten forklaring, forsvar og vern. 	0
mens skroget til ripene skylles	foldes seilvingen ut over skavlenes skum	0
det gamle Tyrus, rikt på minner.	Men nevner han sin reises mål,	0
sin skaper hånet på hans trone,	og rev hans bilde av sitt bryst.	0
bitter og besk er hans nidkjærhets lønn.	på flukt fra sitt hjem, fra kongelig heder —	0
vår ungdoms sterke lengsler skjelver;	med uværs-dønnets dumpe makt,	0
senker engelen sin vinge;	ti han ser den Evighøye	0
evig jagende i evig hvile,	aldri målende de tusen mile,	1
alt er det skrifter,	evig i skapelsens mektige bok.	0
svikte kan de ikke, ikke jeg forstøte,	O, vi lever i et evig møte,	1
over folkets tunge fremtidssti.	svunne dagers kongekunst forbi.	1
han har ført i folket inn,	sammen i sitt syke sinn,	1
i rare vinkler og i sterke bukter	som solen varmer og som regnet fukter.	1
gjennom alle soner går min vandring,	aldri målende de tusen mile,	0
der brenner et lys på det dukede bord,	der synker en fred over huset.	0
som fornekter livets rett	mørke menn, som aldri kjente	0
Men feiler enn fisket, så se til hans myr,	mens utsæden såes og grønnes hver vår,	0
her i billeder og tegn	Her i denne ville egn	1
I den årle morgenstund	sverger over ofrets flamme,	0
Alt hva ditt mot har bestrålet,	fyller din favn,	0
og så sterke, seige bånd	binder dem i vanens natt.	0
Hvem hadde vel den Evige så kjær?	Han så hva ingen jordens sønn kan tåle.	0
i ring om sin egen akse.	da ønsker jeg ingen tilbake igjen,	0
Hva før kun syntes rov og ran	av ha m som over mulmet våker.	0
helt fra Antiokia,	livsberuste hovedstad	0
Undren dog foruten like	vekker ryktet langveis fra,	0
Den har sin glans om fjellet lagt	hvor det av hav seg hever,	0
Her ligger vårt havnekontor i sin kraft	og bygger om vågen sitt stengsel.	0
Når stundom man et større røre sporer	når mannen er av bygdens matadorer.	1
Det høye råd!  Den sunde kjerne	i sunkne tiders hule skall,	0
ord, og sterke, klare grunne	som dog enn med vise, sunde	1
og koker i evjer rett inn under Rei,	og haler og firer langs Rødøyas vegg	0
en høvedsmann hele sitt mannskap til kor	til kyster med brusende palmer !	0
Profeter har du mange av	har gransket med forstand og flid.	0
høvedsmannen sine plikter?	imer gårlog timer kommer,	0
Ti igjennom skriftens ord	og de ser Guds allmakts nåde	0
Ennu er en streikebryter	vern fra selve kongens råd.	0
med selsom ve igjen	var alt og alles venn.	1
Jeg er bølgen og jeg går min gang	over havet som et lys, en sang,	1
På Moskenes ligger det vidgjetne Hell	vel stråler nok fjellet, men heller du må	0
og varme sjel; og ekteskapets lykke	men den vil lenge etter døden lyse.	1
som syntes uten mål og ende,	det satte rot og blomst og frukt.	0
og du hører en englehær bruse.	her har den fra urold til huse.	1
Og Saulus lyder.	Beveget de farvel ham byder	1
Skjelvende av sorg og harme	hyldningsrop. Tilbake må	0
på blomstene over på motsatte siden	er gått ubegripelig fort.	0
Templets prester raskest svenn	Fluks seg alle samler;	0
Da hører jeg en kvinnestemme skingre	sitt grep i gjerdet: Jeg må inn og spise 	0
Og hedningeskarer som børn seg fryder.	brer seg riket ved ord og ved tegn.	0
Jeg ligger stille og hører blesten	som nå igjen legger skogen strak.	0
vil ei sin besøkelsestid forstå.	for vellyst og vinning sin sjel den selger.	0
Jeg har i sneen laget noen skanser,	og man er lam på tre å fire sanser,	1
Halvt skjult inn i skogen står markenes bær,	de drikker sitt krydder av myrsøkk og kjerr	1
ei plenen jeg pleiet å rake	for løv i hver gyllen høst,	0
har denne stemme malm som runger	og ryster selv den skjulte hall.	0
mens egnen trykkes av bøotisk luft,	Men der man ynder pipen eller trommen,	0
bøyde seg alle, — Baal ble forbannet,	hans presters blod med havet seg blandet.	1
ligger i et brennpunkts gløden	snart i marmor, snart i sten,	0
og straks han lå som i en blund,	fortryllet, rolig som et lam,	0
Snart smiler der nok nye smil	For hvem må ikke dra i tvil	1
stengende der til det siste,	blive min dødningkiste?	1
snart er alle strenger stemte —	Stille står den store fører:	0
ja, hver jeg hadde nært	Lukk opp, lukk opp, jeg synker; jeg ser,	0
er livets prøvesten.	vår fryd, vår strid er én.	1
En broket og svaiende eventyrhekk	på selvsamme gren en peon stråler frekk	1
som fornekter livets rett	sansesløst i lystens ild.	0
Når angst og tvil og frykt i sjelen brenner,	Så styrker han sin tjeners trette hender,	1
Her m å han, om han nødig vil,	om slaget rammer kjære frender,	0
Hun strekker seg på tærne, mens hun griper	av sol og skygge: Hit, og ikke lenger!	0
Vi ser i stoffet enno kun det drøye,	der funken skjuler seg for hopens øye.	1
før de har av seier kjenning.	Heller ei som jaget fugl	0
fra jungelsumpene og isbrekulden,	de brøt seg frem av bølgen, opp av mulden,	1
myndighetens bud til Borgen?	selv i fangens ledebånd?	0
Og mangt et bud ham engstet,	fra sjelens grunne steg.	0
hvor det dages, ja dages på ny	Og da lenges jeg hjem til min by,	1
mellom hoffets danserinner	har jeg det i orden bragt,	0
Vidneskarens blod fikk gjøde	pint og pisket og forjaget	0
er det somme ikke kan.	brøt sin vei mot stjerneland!	1
en voksen hviting for litt for ungen	og eggeskallene er blitt bleke,	0
kan man stundom høre rotter som med fine tenner skaver.	Men i de mørke rom er der fuktig som i graver,	1
Og mangen sjømanns liv	som burde hatt i gull	0
som i dette trelleland	og det nidingsverk de frekke	0
Og alt jeg hadde kjært,	Lukk opp, lukk opp, jeg synker; jeg ser,	0
for kvaler i det stille kammer	det ble da nådens budskap kom.	0
der kveiles på taugverk og roes med garn	fabrikkene sluker det alt i et visp	0
etter den kjæres velkjente trinn.	Og ventet og lyttet med spenning i sinn	1
og knapt vi merker hvor dagene iler.	da faller det tungeste dagverk lett,	0
og plutselig bryter våren	og hastig fra morgen til morgen	1
Ei skinn-luen skjulte hans panne, den høye,	hans klassiske drag og hans mektige øye.	1
Uten å ane den ringeste fare	de tror deres siste time er rundet.	0
Fra år til år en byrde så svar,	Gikk ikke lykken ham nå tilhånde?	0
Og røttene rører seg i vårjordens muld	og ja stemmer sølvbekken i.	0
I hjertet skinner håpet blankt	sin smekre hvite kropp.	0
alt er det skrifter,	sole og stjerner ser ned i vår krok	0
trette træl har funnet ro.	jordens barn på leiet hviler,	0
Der står til seine slekters gru	Og Eivind gikk, mens folket gjøs,	0
Slik sank det i glemselens hav.	Men ikke forstår jeg meg selv.	0
som ei du med kongemakt,	har jeg det i orden bragt,	1
Jeg har vært innestengt i berget lenge,	Men du vil sikkert gi det lærepenge,	1
og rettferdigheten kronet.	Så blir verdens synder sonet,	1
sin store arvepart ved velfylt bord,	Var ikke også de av sol og jord?	1
som aldri kan kues av mismot og trues av sorger til hvil,	Gi meg de brennende hjerter, som aldri gir tapt for tvil,	1
Dess hardere brøtes de ander tvende	og holdt hverandre i ryggtak krystet.	0
Bygg høyt og stort! Til Herrens ære	At alle folk på jord kan lære	1
Og la meg høre fryd og glede,	reis opp igjen det brutte rør,	0
skjønt ingen er så mørk og svart som Nr. 13 mer.	Den største gård i gaten, men det finnes mange fler	1
og skaffe brødet til familiens munne.	og man er borger, embetsmann, forpakter.	0
blir stanken nokså sterk —	som sluker alt de ser.	0
seg selv at stå,	Det var på hans bilde, hvor hun så	1
Vårkvelden er som en sortnende tvil.	med holmer og brott slettet ut.	0
Den henger i hvelvet så lett i sin ving	og smelter deg inn i den vide natur	0
med større kraft enn fiendesverd	De feige brødres hyklerferd	1
da må man herde seg mot døgnets røst	og dernest styrke seg ved håpets trøst.	1
«er der latter og dans;	«men siden vet jeg lite om hun fletter sin krans!»	1
fram velter glemsels sørgelige floder,	må drive plogen i de golde furer!	0
og flykte for den gode hyrdes røst?	Og hjertet eier ingen evig trøst?	1
«er der latter og dans;	«til sankthans	1
Atter kan vi leke, danse,	dag og natt ved våre fester.	0
fikk gjennomtrenge fremtids slør.	en gammel venn, som ofte før	1
Vel kalles må glattrokken også en fisk,	den regnes som ufisk, som slimål og sprut	0
Montro, hva de ville svare,	Christie og de gamle kare,	1
hvor dypbanken fylles med skrei og med rogn,	for her toner vindene friske!	0
Guds faste grunn urokket evig står.	Fullfør din tjeneste med udelt sinn;	0
vern fra selve kongens råd.	tross medaljen dere kan gi ham,	0
du følger ei kunstens langt viftende krans	om mast og speil.	0
Som gråt fra en klagende barnemunn	steg fra hans hjertes dypeste grunn	1
men tonen hang fast i den bleke natt,	i den bleke natt.	1
Sankt Olavs-korsets ros	og hundre om igjen.	0
deg tilmåler	Solens stråler	1
O du som bad for den blinde hop,	i all min iver jeg trodde å tjene.	0
Dog også dette er mildt og godt,	og lykke for øyet i havets blått.	1
og løfter på Måstad sitt mektige sva,	hvis steinbringe sollyset varmer.	0
Bygdens unge menn i flokk	men hun så, hun enset ingen	0
Og kongen selv? Har han glemt å befale?	vokser til folkets og kongens dommer:	0
Men denne kjærlighet ei gløder	den over tid og rom seg hvelver,	0
«Hva heter det land som du har forlatt?»	«Hva voldte du stanset just her i natt?»	1
Da våkner du opp. Det er bifallets støy,	og kaller deg selv: Hennes Nåde.	0
Det gamle slagur på veggen	med makt til det evige bliv!	0
menneskets stakkars hjerte som, fattig, ikke formår	men denne gang må du, hjerte, få kraft til å strekke til	0
Da klinger lurer, da er det en støy	med stigende angst i de dirrende hytter.	0
Men følger du landveiens støvete spor,	Halvt skjult inn i skogen står markenes bær,	0
med vinger på hælen, steg ned på vår øy,	hans runddans skal ingen mann tegne.	0
av alle slekter. Atter blommer	de gamle i de unges sommer.	1
men allikevel jeg tror	ti dessverre, i det siste	0
Se, ved dette syn i redsel	langsomt inn sitt sterke lys,	0
Det er vi, kamerater, som roper til dere:	og dere grov skipenes kull.	0
og lytt til suset i tanget,	dragsugets evige sus	0
Der sitter ikke et menneske i de ti tusen stolestader.	i mørke og for tomme benkerader!	1
For er kulden fortredlig med sjøskvett og sprøyt,	og at hånden er villig og våken!	0
i talens tanke-dønning vugger.	Vi ser de viker mens de hugger,	1
Hans tanker, lengsler, som hans bønner	til folkets redder ut fra nøden,	0
frekt på munnen. Men de får ham	løgn til torvs, og noen slår ham	1
Han fødtes vel i stønn og skrik og blod	hvor solen hilste ham og stjerner lo,	1
Litli-litli-lu,	kanskje kan du vise veien.	0
fra reis igjen og så seg om;	det følte hver som gikk,	0
og vendte heim fra kjøpmannsferd.	mangt prektig skinn av bjørn og mår,	0
Der faller en trøst av de evige ord,	og vinden blir ved med å suse!	0
Fra en fjern, en ødsel kyst	med en overflødig grøde,	0
Norge, som lå der så fruktbart og stort,	syntes ei dyrkbar, og endeløs myr	0
går veien hurtig dag for dag.	værbitte, snebedekte fjelle.	0
Og på stranden, medens bølgen synger	og de friske forårsvinder gynger	1
Ha, det er hans gamle list.	meldte seg når selv han lystet.	0
et vennlig bilde, fjernt og nær;	til minne om den urtidsdyst	0
Mens hjorden gresser på blomstrende eng,	han trygt den for farer freder.	0
nå har det vekst,	fanger din diktnings den koglende hulder.	0
skjøt blink på blink som kammen av en bølge!	fra naboskapet: solen i ditt følge.	1
og vinduslemmer blå.	er klokkeklang	0
som har aldri visst det bedre,	Skygger av de falne fedre,	1
Den skurer tungt mot bryggen,	det skar som glass i ryggen,	1
hans verge trylles om til tusen lanser,	et sekels livsstrøm banker i hans hjerte.	0
Om ofte han også bak slit og bak angst	Å ride på stormen som farende glunt,	0
jeg har ei hevn, jeg har ei nag	Men som jeg står her nå i dag,	1
at meget snart hans egen time slår.	men går så like inn i løvens hule.	0
hvor straumfaret hvirvler fra morgen til kveld,	Her må de i båten og handle i Å,	0
den ånd, som selv i svakhets stund	mot fremmed hær og fremmed ånd,	0
Dere herrer! Har dere mistet den siste rest	«Hva hjelper å snakke i øst og vest?	1
luer i dens strålevell.	Paulus nøler. Dagens minner	0
jeg kunde ikke være inne;	og lot den for strømmen rinne.	1
Svar meg, kong Achab, hvem gav deg seir	Hvem bragte deg lykken, hvem kranset din panne,	0
Det lå der i sin tross og lot brenningens hjul	forgjeves i fjellveggen risse,	0
den første gang og så de rare skygger flakse	mot dette virkelige, nære, dagligdagse?	1
ingen mannemakt kan temme	folkets tøylesløse rus.	0
som vekker jubel, eller salig sårer	den trylleverden av dens smil og tårer	1
da klang den vill som elvesus,	Og slo han strengen i sitt hus,	1
Men de danser snart alene.	tryllemidler, amuletter,	0
men jeg vil tenne en hatets brann	Med skanser og bommer hans vei jeg stenger,	0
da ser han folkets skyld og brøde	så minnes han om død og grav,	0
fordi du dasker med en løvehale?	r det da nok at tungen din kan prale	1
tusenårig skikk og vaner	gjør den beste blind og døv.	0
i forårets tekst?	nå har det vekst,	1
Slik finner de ham hans skrekkslagne venner.	dog ennu han ånder o Gud er god.	0
der vokste no det tette kratt.	til kirken i den ville skog.	0
av herrens åsyn som sakte luter	Det blir så tomt bak de blanke ruter	1
Hvem er han, hvis tanker og vilje og bud	da slapp jeg så gjerne alt jeg har vunnet,	0
mellom hoffets danserinner	Har jeg så ei tjent en takk.»	0
I Moskva går hundrede tusen i tog	en hilsen til dem over hav!	0
her må dog alle se Guds finger.	Den kjære venn de fast omringer,	1
med hver dalens slekt det hever seg på ny	Derfor kan kong Olavs minnerike ry	1
fulgte viljeløs de sterke strømme;	seg i meg og jeg i altet,	0
«Jeg legger et merke i trauet ditt	Men trollet gjorde seg blid om litt	1
Jesabel sier at Baal er størst.	slik tale så titt meg piner og plager.	0
om alt de kan høre og se.	som har lettet ham fengslets ve,	1
Og straks fra oven røsten lyder:	«min sønn fra evighetens dag,	0
og muntert bølgebrus.	og vinduslemmer blå.	0
trygler ham fra gry til kveld.	vei og råd til mengdens vel.	1
er alt i fødselen forknytt og knekket,	for i en samp og mellom paddekvekket	1
sjelen straks	Undrende	0
Den breder seg ut og tar i favn	og Jesrielsletten fyller.	0
Hver ånd som modig seg en bane slår	at endelig for alvår er det vår.	1
Her har dog tanken en slags takt, en lengsel,	ham vinker Arendal med laurbærblader,	0
og seilet i Henriks «Hardanger.	og selv gikk han under det flyvende seil	0
Hvor godt at lytte til blestens susen,	til regnets rislen og løvets brus.	0
Enn er folket kun som barn —	såre lett dets arv kan spilles,	0
Mektig Gud sin gjerning fremmer	Og omkring, hvor vidner kommer	0
Men ildhu og kamplyst til overflod	kan prøve og trette til døden.	0
kommer kong Achab med ilsomme trinn	uventet, umeldt til dronningen inn.	1
med lykter, lanterner og lamper !	og skipene tøffer og damper.	1
Sjøens speil, 	dypets sjakter.	0
Hvilken lykke ham å felle! 	under angstens mareritt. 	0
bratt hennes skjensel og nød fikk ende.	løste Paulus i kraft av Guds ånd,	0
Jesabel har megen ære	snar, opfinnsom, slu og sterk.	0
visste du dog hvortil du ble født,	mens munnen gjør diekryst,	0
her heller fra lien halv hundrede mål	Jo, her skal nok slites, men uten all sut,	0
og din skapnings nød deg rører.	akk, men husk dog slangens list !	0
åndet gjennom trær og blommer,	av Gudsrikets gylne sommer.	1
det er som å få dem kjær	og som skal være her.	1
Her dvelte han gjerne i år og i dage,	Lister seg lengsler gjennom hans bryst,	0
de hilses!med Guds fred:	de styrer sine fjed.	1
Han sprengte tankens evne av skole-puggets bånd,	var hans vrede over feil;  men den la'e seg straks,	0
Britannia har hersket så lenge på hav	Og fant dere døden i grubenes grav,	1
Nei det er rekti, Kalsen — det var jaggu sanne ord!	han skal vel alltids ennå kunne hoppe overbord!	1
ditt navn jeg hørte mang en gang.	Men så den kom den svarte pest,	0
mens nebbet stikker fram og skvadronerer.	I gode fugle, vingene proberer!	1
Her seilte jo Ottar mot øst og mot vest,	før enn Snorre i Heimskringla malte!	0
Og det gjør intet om du synger med	Du trette vandrer, slå deg rolig ned	1
sett deg under klippehanget	dragsugets evige sus	0
Er Israels adelskap ei skrevet	for folkets redning, liv og fred.	0
med det vindblåste rognekjæret	og den vesle jordbærhei,	0
Slik var hans verk på jorden. Av skodden tung og rå	steg grønne, glade skrenter, fordi hans øyne så.	1
som alltid holder hus når noen andre er på snei.	Hun står i avholdslosjen og er surøyet og lei.	1
I farten slapp han grepet i trapesen	helt uten tanke på de andres skrekk,	0
Her er jo alle drømmes mål,	som skjuler for evig dagens bål.	1
Om du aldri tar deg selv i at du plystrer på kontoret,	når en fjern, begeistret opprørssang fra gaten når ditinn,	0
fra nakne skjær og sølvgrå hus	et overjordisk vingesus.	1
de uker hun ligger og ruger.	Og stanser hun så ved en høvelig plass	0
Men etterhånden ryktet gikk	i buesnor og bileskaft,	0
sin kulde i strømvannets floder som går	er i dypet der liten forandring !	0
Jeg rører fordrømt ved tingene her,	på vei over storhavets svimlende bakker!	0
tid på ham: Vi vil bli fri	intet mystisk svermeri	1
på mitt glade bryst,	så stort og lyst	1
som om nattens stillhet sner	ingen skritt på gruset	0
«Jeg kan ei, Herre! Vredes ei	Å krev ei mere? Hva er jeg?	1
hårdere tyrannen må slå til.	herdes folket gjennom trengslens ild.	1
min fot av veiens grus er såret,	gå, hent meg straks et beger vann.»	0
og aller minst av døgntrompeters pralen.	kan ei erstattes av en plantet lund,	0
hans runddans skal ingen mann tegne.	men vilde han kjøpe og handle med fisk,	0
i kveldingen går vi på runden.	I bua er kjentfolk, der får vi oss plass	0
hvor ingen mann er trell.	før der er skapt en større lov,	0
Men nordpå i Fiskfjord fikk hammeren skaft,	Skjønt best dog av alt var den lyskraft den gav	0
og derfor må vårt Norges krefter stivne	Vi ser i stoffet enno kun det drøye,	0
Filippi er blitt ham så såre kjær.	sin nyskapte haves frodige ranker!	0
Legg på vår tunge nådens røst	med livets ord til evig trøst.	1
stod enno der et kort minutt.	og drev sitt spyd med odd og egg	0
sådan opp igjennom tiden,	som kan ville gå igjen.	0
De griske luer flyr fra hus til hus,	hvor øyet ser, det gnistrer, herjer, brenner	0
hvert løv finner hvile et steds.	du sitter i spottenes kreds!	1
for den muntre bris!	det er Moskvais!	1
det er min elskling, det er sydvesten	Jeg ligger stille og hører blesten	1
Nitsjevo  gi fan i resten	det er Moskvais!	0
hvor Grønland av havet seg hever.	der vilde den djerve ved isbreen bo,	0
Snart hulket den ydmyg og fin,	snart jublet den herlig og kry!	0
og samler på lyktenes gullskrift og tegn	Og Svolvær det ligger, som alltid det lå,	0
Hadet stikker som kleggen	inne er lummert av kiv.	0
å da duer du til intet. Bøy din nakke under åket!	Ut i samfundssumpen, pløy den rand for rand.	0
