0	1
haller	ord
befale	bud
sette	blest
regimente	ikke
trelleland	åpenbarer
stor	sand
svake	forene
åpenbar	ro
levende	skrik
kanhende	styrke
armen	tam
skjold	urtidsdyst
druer	verk
ikke	strid
menn	befaling
rot	ham
god	befester
stad	pile
herinne	bølgebrus
søvnen	tanker
kjærlighet	jord
menn	idag
røde	gull
kontoret	sinn
skje	land
fast	stene
ense	granitt
duft	ord
kvege	forstår
sus	smiler
frist	myndighet
skjær	snøfter
børn	verdensbetvinger
gåde	eie
kuet	ei
høye	dronning
aske	tilbake
døden	krans
øde	trell
husbondsvett	gården
ramme	flor
sagn	..
sted	inn
fjær	bakker
Fluks	minnet
blad	av
børn	vilt
lett	...
nok	komme
kongespir	år
lyst	lå
uinnskrenkt-monarkisk	selv-ironi
gavn	kvide
landet	blesten
knyr	make
kledt	minner
kne	fiskevann
luft	spredes
lemmer	hen
kjenner	kommer
stor	uværs-henget
forundt	med
full	ofte
flyr	tilbake
bort	hefter
støv	ord
kvinner	strid
svermeri	døden
endt	veg
rede	saft
ned	naturen
med	tåker
ting	trell
like	Antiokia
frem	årer
brød	alle
stjerne	inn
stetse	år
ild	hist
svær	klør
stempler	ser
furutopp	himmelblått
lammer	drikke
tiden	igjen
syn	fantasier
stod	viet
på	klokkeklang
spredt	gror
sted	tett
bryn	er
fart	tjæren
tror	topp
danserinner	forvaret
funnet	sinn
over	gjest
høye	god
verden	mester
frem	møye
indre	der
svant	skritt
fjelle	kort
nu	båret
sanden	eneste
fornedret	klinge
bolk	hjerte
slekt	evne
derpå	åpenbaret
gror	hjeller
matt	dyp
krig	tall
skingre	bade
munnen	plass
sjel	håp
på'n	hjem
vil	ler
luer	hen
sinn	trolldomsmenn
se	døden
vred	bever
klinge	tande
ny	vann
kjærlighet	jøder
forstå	grenser
haster	lyser
vold	ringe
kjær	nøttene
vinger	råder
land	nåde
færre	lås
flammesky	himmelluer
så	dans
gåde	spor
brast	alene
fornyer	snakken
lang	dage
lytter	snøft
lik	fornemmer
blå	rand
rike	slå
kjell	bestandig
gjemmes	snøfter
kroner	Gud
plage	strålestrømmer
herfra	varmer
ørn	makt
forfektere	etterapelse
kjære	forstår
behag	prise
sinn	instinkt
straks	stiger
tinder	drømmer
tilbake	svor
spor	brann
gå	hvitt
inn	drøm
verden	stund
gjøde	befriet
ro	dag
neste	sterk
dekker	sne
truer	kogleri
vise	vuggemei
hugg	bedrøvet
himmel	lagt
blodet	ring
toner	grav
forlatt	bære
sand	skjød
hei	Oskoreien
rennesten	prakt
betrakter	over
verden	brus
kongespir	ny
arme	prise
makter	veven
døden	skjell
alene	vann
regnvannsrenner	drinken
vendt	forbi
bøter	for
kredense	bunden
fatte	veier
sanger	sinn
topp	bryster
fjell	kommer
gress	arken
det	slutt
spent	blad
farten	atter
krenket	bort
dere	besvær
far	skje
hus	tempel
hen	gro
kveld	av
alter	tuter
åpen	tunger
grus	tone
alene	mannedåd
tøyer	skam
nok	beiler
sans	tre
sted	hende
gløden	flukt
hammer	svinge
sinn	herhen
farlig	dør
fang	tanker
skatt	ord
forstå	renser
ry	pral
morgen	plikter
bånd	vinge
dage	bryst
tinnsoldater	krampe
dø	hører
stjerner	vind
ber	feber
viet	døde
si	lykke
øyne	ord
være	forstår
vind	gryr
broderkjede	bånd
bryst	drømme
klynken	skavler
oppe	tager
skumret	under
varmt	bregner
sne	minarett
vei	strid
vugget	skulder
svart	kamp
vår	fabrikk
vær	hine
tilsist	forglemt
måler	annen
natt	kåret
fjerne	inn
slår	lyd
bit	sår
prakt	mer
skjelver	nordlys-prakt
et	skyer
fra	rad
drømme	pakt
fjell	evne
dør	luft
sanket	hyllende
graver	mann
rop	grenser
hit	øst
bære	spill
verd	strenge
bryter	gå
klare	står
briste	farvel
bjerge	krav
gjøde	gjære
ned	sinn
dem	bord
bruser	vred
gaver	skjer
sild	egnet
år	glede
tro	skygger
hud	ånd
merket	bjeffer
sted	ætt
rinner	år
mann	krigerskare
nær	skyr
prale	savn
sinn	drift
går	kristenskarer
vendes	bok
skikken	pakkbodliv
opprørsleder	ånd
helligbrøde	hørt
dødes	Jesu
sønner	sminket
svenn	Dagligdagsen
kverner	strøm
ånd	rytter
alene	venn
en	morgen
lønn	heder
menn	valgt
såvidt	øye
omringer	ord
står	måsen
lyn	inn
tidde	fjorden
svar	skipper
brøde	verd
frekkhet	enser
rad	lue
spare	trygg
oksepar	brenne
Krist	bered
tro	tiggerskare
stormer	handling
stjele	mest
bønner	land
hyklerferd	flenger
bære	tross
trede	frihets-pakten
hus	smiler
dit	skjød
rett	kinner
kom	gikk
besværet	sår
triner	smil
slutt	klokkeslett
kan	svare
rundt	bittesmå
stopp	akker
inn	mål
sport'n	forsamling
står	skjær
fjord	skodden
fornekte	renkespill
venn	binde
vet	jord
slang	festet
ombord	vinter-natt
hånd	dommer
tre	fjæren
slå	vendt
land	fritt
prest	tunge
figuren	lykke
barnemunn	vide
rinner	tindekrans
verner	vind
siv	lenker
have	bær
vekt	svømmer
flod	hele
kanhende	dommer
rovdyrtenner	Sand
ditt	kvelden
ett	Gud
kretse	år
klokker	skrålet
kveld	klippehanget
bånd	lenket
ære	inn
tale	mann
forlatt	skog
mange	bord
komme	kvinne
tanker	forordning
gammen	trellebinde
går	verre
bord	ro
jurister	sen
elv	ingenlunde
siv	trille
narreskrud	slave
til	kassevis
pupiller	ull
munn	jubelsang
klippe	frukt
forhindre	røre
ratt	sko
bil	damp
støy	debatter
pjalter	tilbake
egn	lun
vær	agn
fast	rand
Jerusalem	før
makt	gåde
hul	hære
vind	vest
fjellet	ner
vann	hente
ei	former
eng	ei
vannet	stige
fjell	måneglans
tilbake	ender
gjennombevet	vi
bestrålet	favn
klippe	forbrød
inn	hjerte
tjene	befaler
lære	skaper
svar	blod
bragte	allevegne
forvaret	takk
sagakyst	jord
ei	kjenne
gjort	kost
frem	her
ulv	mat
rød	fare
tinder	reder
masser	løvet
stod	kår
minnet	led
med	himmel
lue	steder
jetter	forbi
eie	lykke
søker	landet
bord	føtter
landet	munn
skaren	damp
fiolin	hedningeby
lind	vell
finner	hans
båser	menneskedyr
gull	våker
rede	sæd
griller	håret
bris	rosenskjær
vekke	finger
til	is
tale	stod
vover	sang
mål	dog
pels	leve
skrik	hus
barmen	svermeri
tegn	hvile
hud	sønner
vandring	mile
ikke	kan
takten	Bergenstrakten
koll	drøm
kabel	grisk
farer	kraft
land	gryte
skikk	fat
gjenoppta	Mester
vet	jøder
skrei	over
slemt	forvinner
skygge	stor
trygt	lyde
ned	våren
dag	stønner
norm	horn
baner	drift
venner	munn
sist	bløt
tilbake	trett
stor	mild
fremme	dag
minner	gjest
vest	rygg
rugget	formet
klasser	løvet
to	hjerte
vil	stille
klar	forbi
kiste	dag
ei	trygg
forvirret	bak
barm	ild
drift	høsten
lå	havne
bedre	le
topper	rogn
stat	spinner
fred	skygger
forleder	fornøden
skrifter	skygger
ende	ord
året	bort
kjemper	ny
blod	drages
vannet	himmeldrømmen
den	sinn
skott	kant
rykter	mén
tar	svar
hår	tinde
svinner	lande
snegle-arten	barne-latter
bølgetopper	avsted
grodde	verk
høy	strenger
sorte	før
til	hist
festet	gjaldt
grønt	tanke
herre	stemme
dag	bar
armt	kirken
munnen	daget
av	rører
blod	bygger
går	blikk
ere	dreng
II	går
gru	tvinger
intriger	våbengny
hvin	aftenskjær
gru	igjen
fugl	vekt
stå	hjem
der	slekt
møte	forlatt
døpt	nåde
leget	fyllende
forklaret	gang
bratt	ly
seir	slavemoral
trett	narrespill
trellebinde	prestedrakt
dyp	sinn
krans	ånd
rike	Antiokia
bjørkekvist	ham
alene	lykke
sæd	sletter
klinge	bram
lover	omkring
dikte	glad
støv	drømme
vind	gren
sviker	vånde
lang	lenger
øde	gjeld
kan	eier
øyekast	aker
rundet	skjær
rytter	krigerskare
nær	snakker
rett	bier
jammer	lever
her	stå
blind	en
dugget	vekst
skog	landet
pris	skumme
røres	på
grunder	skikke
rommet	risp
Borgen	ledebånd
verne	gavn
rar	verkstedbråket
hans	løvet
den	hegne
forlatt	kåret
rett	minne
omkull	vern
fatte	skinn
møte	kredense
seil	svømmer
knoppen	velger
flamme	fritt
blind	fler
isse	en
drømmer	lyster
skapen	øye
less	tynt
furet	gry
stans	besatt
vugge	strand
tide	flokk
bord	stunder
smerte	forgå
bølgehære	land
kinn	tilkjenne
tale	fri
leie	gjest
klinge	is
inn	egn
kvelden	kvast
sner	huset
sild	høre
behøver	bygge
blod	sanger
få	båret
blinker	trer
varme	Rom
kommer	år
bris	skiller
gang	spenning
ruiner	løp
ennu	se
borg	kull
skumret	gjest
til	tenner
skrekk	manovar
omkring	klage
flekk	sammen
tid	fjell
kvarter	rette
lært	situasjon
blod	inn
stjele	best
himmel	stund
fri	gått
sender	morgengry
bris	rær
dvergemål	strålebad
bragt	have
kue	vårt
treder	stille
finne	makt
havn	lys
bue	form
spøker	landet
famler	vill
røre	helligdom
morgen	tone
gjorde	små
sønderrevet	fred
vik	rund
morgengryet	brenning
hammerslag	meget
tigger	tent
strå	kroner
bragt	flukt
igjen	sammen
lyden	sans
trenger	lanser
gys	sinn
harm	jorden
forleder	følger
sten	sol
slekt	tider
tuft	nord
det	her
slaver	gjøde
gi	vær
jord	matt
ry	prestinner
skatt	favn
syd	fjærer
før	drakt
tale	kommer
gikk	gulv
kveld	fortrolig
igjen	så
vet	meg
prutte	rær
dvale	ny
lykke	gråt
leve	sæl
hånd	ord
sang	makten
lukt	bønn
spiller	hær
slører	sten
gammen	makt
planer	døv
svar	sjelebod
halvmånestrand	vind
treder	larm
stjerner	sjø
ombord	mann
trave	gutt
program	tilbake
bestemmer	mynt
mørk	med
fjell	øye
svermer	havn
charmeuse	alle
ro	menneskestimlen
panne	lunken
falme	kretse
melet	best
lekte	stranden
tanker	formår
blomsterbed	vil
bram	liv
kommerkua	topp
folket	lett
land	gull
mann	stemme
dømmesans	bud
spise	det
derved	stikken
silhouett	flaker
lenger	Gud
master	stønner
dyp	glar
bøye	mann
aften-hvile	fylle
gaver	feiler
hen	formår
bønn	bordet
nød	klynge
gård	stå
sag	verker
tind	natt
kontrakt	plikter
takten	Viken
faste	bunn
verre	stemme
føtter	art
hedninge-livet	hel
ombord	vinterdvale
Jovisst	stjerne
full	død
vel	lande
fritt	inne
uskyldsren	panne
huser	gull
fugl	hyller
gang	slaveslekt
Hell	pløye
kjære	vår
Harmen	svermeri
troen	år
Nordvest	kulde
malte	hav
ingenting	stand
imperiet	hånd
mann	lien
sten	kaprifol
klang	nøden
smil	triste
kan	sjele
seir	glede
prakt	gry
skoger	går
parat	ser
brann	bord
lønn	vil
anger	klage
svak	bønn
luker	forrådskamre
ed	blod
sinn	sover
jul	år
hender	klang
hine	sagn
himmel	armer
jord	natt
grøde	har
smil	nu
dikt	makt
vakt	stor
står	mor
ild	følge
blod	ulv
trekk	omme
gutt	gulv
farer	tolk
bor	lagt
mange	skue
klør	bringe
falt	eldes
endt	natt
kjær	vandre
em	strømmer
slag	øye
silhouett	jord
stryker	øer
snegle-arten	atter
rammer	grå
forlot	krav
verdien	fører
brenner	råd
berømte	Bull
betvang	lam
bisk	lån
kjærlighet	tung
strand	forsvinner
luer	døden
helligdom	kommer
lue	satt
pynt	glugg
leve	fot
ny	havet
hav	strand
stå	dere
bildet	år
klynge	innestengte
ro	trinn
knatten	hånd
SANG	flommer
mat	lærte
gru	taler
lett	brann
eie	alt
jage	lyster
Vinje	gipsen
strålebad	strenge
vendt	fri
kjenner	slitt
Nei	vil
lys	fritt
være	vår
nord	menskeverd
slemt	tingen
frem	gift
krans	bane
vis	skumme
menneskehender	fot
veien	gå
hen	brygge
tvang	skremme
kveld	skuret
ute	hav
bønner	sminket
Kongestol	bånd
ferd	fedrearv
klingen	borge
sang	jage
hviler	bryst
alene	slår
betvinger	ve
lire	kølleslag
ild	bruse
vilt	lå
behager	gavn
favner	står
mann	tid
ser	rus
mer	bygge
samme	parodier
panne	slavemoral
lenket	gjort
ikke	kvarter
tro	føyer
døv	jord
tømte	sukket
høye	edle
lunefull	skulle
omkring	finner
frekkhet	klang
angst	fortæring
nett	våren
mål	is
igjen	hammen
ned	skygger
klang	tror
frem	like
forårsdage	strålestrømmer
jord	Middelhav
smil	smerte
plan	våker
spyd	officer
vinden	gang
støy	kjøt
armer	grønn
sanser	prakt
synger	land
børn	vinger
love	gives
kommer	dette
kvinne-verk	skare
finger	ord
koloss	tanke
gi	er
faller	hedninge-livet
handles	pakk
forvirret	bort
vik	bunn
magneten	tande
stygt	meg
kjær	venn
lyster	meg
rett	bort
by	egne
fri	syder
dødninghaven	skikke
vil	hinker
lammet	ro
sønner	trinn
avsted	hull
vente	hær
stemte	ris
tordenslag	svar
rå	rev
møte	stunden
jammer	lik
lindre	se
våren	fjøs
hell	favn
flo	kneet
fiskeørn	vilt
skyer	blåner
høres	på
dirrer	takt
kulelager	menn
leid	pisker
springe	pris
falt	smykke
munne	kontrakter
annet	oppbyggelse
ære	sterk
klippegrunn	bånd
drønn	forvandling
gå	går
ånd	i
gjære	form
nær	fedreland
savner	trenge
glans	dommer
stund	hen
feste	kvinne-verk
skjær	havet
fremmer	sommer
naturen	trykke
kroner	minner
vel	målet
give	bud
synger	blå
ord	rart
på	lys
land	døden
raver	ombord
master	førte
døden	morgengry
igjen	saksen
hav	kveld
glans	den
svirrer	skum
bange	broderkrets
vingefang	hånd
sover	skjød
fly	luften
like	hovedstad
vår	skinn
stemplet	fritt
sjøen	bryggen
hake	ender
stod	samme
Graven	ikke
tanker	må
tang	vier
glede	søstersønn
Krist	sæd
brenner	mannedåd
kue	snerrer
remmer	slag
kirke	bak
lemmer	slag
folketom	ditt
tilgrunne	hit
brøde	ferd
år	tukt
kanal	matte
krevet	Gud
humør	takk
gikk	vind
trærne	buser
skjul	litt
hær	sår
kunst	gråt
glede	saft
forgå	velger
listet	hund
dom	tvende
se	båt
løv	satte
fred	stønner
spenn	lå
bygge	funkle
bodde	grodde
gikk	ende
vektere	etterapelse
skogen	berget
hånd	kvesse
gang	dø
jekt	mål
røk	frem
fjorden	skyen
smertestønn	fornemmer
luft	føre
sønn	slaget
kropp	leden
vell	mæle
inn	tross
klippemuren	Niirenbergerstykke
hutrer	flak
bever	betvinger
gunst	pløyet
krans	klædebon
bringer	bo
befale	natt
skrider	minner
hvit	trøst
land	kjenne
drømme	altet
tre	jo
spare	ord
hat	ser
slag	vrider
lønn	bordet
vrimmel	bolig
betagen	kjær
navn	si
den	gården
sanger-vår	brus
klynger	trett
hender	drikke
fullbyrdet	døde
kval	titt
tegnet	flukt
våt	land
god	av
sjøer	mylder
målet	favn
fjed	sinn
speil	sjakter
land	ny
turen	opp
varmt	virken
gjest	kulde
vannet	vek
ektere	skapelse
time	alene
triner	pil
tåken	stå
så	vold
kjenning	krans
fødes	bryst
ett	skyer
kjenning	kjenner
vaske	havet
heggen	liv
rømme	her
rund	trett
nær	krav
salver	rødt
vind	så
brøt	sand
panne	drag
tror	domme
slaver	beiler
løvet	hånd
bytte	hall
hav	bilder
vente	bredes
kledt	kjente
forvisst	bragt
taper	bedrag
vugget	stormet
år	brud
eie	sted
spor	komme
hytte	prakt
ørkensand	hang
kviste	jord
tilstede	lampeskinn
såvidt	møye
drukket	tunge
god	tanker
Rom	ryste
ridder	skulle
rammen	vann
rykter	én
ild	holdt
ga	vandring
gren	smykke
utrolig	det
luften	hei
røvet	grunn
fred	slør
klokker	svar
trakten	miner
strever	snakk
sped	lurer
gnaver	vin
nede	selv
bor	ru
gjemmes	skjær
svinner	stønn
tre	knopper
ætt	gror
jord	vinterdvale
retter	egn
kan	mare
snerrer	kan
gro	munn
juleskikk	ritt
Blix	greide
kalt	nyker
blikk	seil
samler	vill
sprang	bundet
mann	lenker
betrådt	bevet
sky	rammet
bringe	lyst
lønn	tærer
fjære	prakt
vind	gulv
eie	strå
sans	svever
1914-SONETTENE	dem
brann	forsømt
prakt	skrud
forblive	bud
drives	Israel
grenser	klør
sloet	ring
svær	kimer
mot	når
rad	inn
mil	stille
svart	stamp
død	rykte
brenner	vil
bud	hu
gløder	hvelver
flo	munn
brann	tid
gode	overalt
gjerning	deler
kapiteler	buer
når	bor
tvinger	lønn
kveget	sanket
sommeruke	sten
bølgedans	natten
natt	hår
fra	henter
ånd	binder
akse	igjen
favn	toner
stanger	korn
kval	hård
faller	kvinner
hender	skatt
dvergemål	topp
brem	klippemur
flokk	mer
av	bilder
tredve	år
stod	kummer
mén	miner
forening	hund
vang	nemme
mål	ve
ritt	huset
nett	gården
Sunium	nord
flik	nag
arbeidshvil	øyne
dømme	svak
hund	gått
II	rand
dikter	kultur
minutt	egg
verden	av
ve	salighet
ben	skjendte
frem	stavn
håp	like
munn	folket
lett	klamme
makter	stirrer
fjord	blinker
fred	førte
bønner	stavet
behag	Rom
byll	ord
går	trenge
vind	borte
strand	ned
forbi	orden
Gynt	dugg
mål	der
kjenner	dommer
til	bruse
overskyet	brenning
liv	kjempe-kull
drevet	glød
binde	hender
vinger	grav
lærepenge	på
sanker	mening
gror	frem
idag	milde
trett	hente
lyn	bånd
vest	gruper
norm	fekter
krenker	kvist
luft	svunnet
fonn	fang
pjalter	kluter
ror	lyst
såmann	grodde
slaver	domme
trossen	skjønnhets-velde
spøk	plass
mot	kjenne
vender	hu
menn	får
sjel	ånd
malte	bispestav
som	stå
admiral-fregatt	kyst
mesterverker	elde
mile	forgylle
larm	svirrer
skimtet	jord
farlig	før
jern	gullet
lampeskinn	venner
finner	stor
folk	forlatt
flammemunn	by
makt	synder
dunkle	stiger
hender	gru
skjul	brott
vinden	trell
drønn	handling
magneten	bram
dager	menn
tilorde	se
bryst	kold
glipper	havn
år	strå
ris	huler
maske	gravet
baner	skrift
plaget	befriet
slår	stilt
henrevet	hall
bønn	død
inn	pest
knytte	trøst
se	skam
øy	skille
gav	kne
allevegne	luner
Moabit	skur
inne	ned
stene	amuletter
glemme	trell
blikk	næret
ikke	jord
vis	øyet
han	kveldene
hans	ender
senker	jord
tro	berede
natt	trelle
gård	tinde
kommer	nu
morgenstund	sterk
sanger	høyhet
ga	grav
jord	klart
grense	bunden
ildet	tro
lender	stiv
øye	lande
navn	farer
støvet	sønn
skjæret	vann
være	fold
fosforkammer	drømme
bite	gav
aftenrøden	frukt
profet	synderinne
år	øde
ætt	finne
stand	gjest
sted	slag
helsebot	land
mæle	omringer
sagt	rolig
krans	panne
tekst	musikk
klode	gjaldt
levet	plankeverk
slusk	ektefeller
heggen	bliv
sceneriet	øde
buer	kogleri
bever	feile
faller	sjel
nytt	bak
frem	kjenning
barn	rommet
munn	verk
gang	trenger
dem	lever
flid	hans
finne	være
vier	farer
slett	kun
æoner	ødes
stor	Gud
ving	natur
klippegrunn	glød
fester	flomme
tolket	lett
skrifter	hytter
mile	strider
idag	ham
høy	regn
leie	sommernatt
svær	gjør
kan	jager
samme	niste
sang	vilje
venner	bror
stod	slummer
sagn	minne
skygger	selv
spinn	dypet
trett	håp
vannet	glemte
brann	drømt
gynger	skride
blod	mester
veld	kommer
rike	hovedstad
fikk	fast
så	Bugge-Hans
ned	finner
sky	rekker
hvile	dunster
tilbake	trøst
forherden	kun
stemme	fred
panne	sunken
strak	vrimlen
fatt	ord
jeg	ild
se	snakk
små	land
bøde	verd
hule	sår
kinn	rør
knuser	gull
rop	fekter
krans	frender
bryn	drøm
henger	natt
tyde	spill
luft	flytte
natten	ånd
snare	Gud
fanfare	attentater
fange	saltet
tørn	bror
år	mor
ørkensand	sprang
tro	kjenne
bord	våde
munn	ramme
sang	sjelen
vin	tekst
ånd	ubestandig
bønner	trinn
inn	tanke
ve	savn
tramper	Staats-affære
drømmer	hendt
skrevet	fred
stene	offerdyr
bud	faren
ender	forstår
hav	kraft
lærte	bruk
rus	eksempel
tvil	forakter
knuser	hull
kor	palmer
ulv	fat
ben	drøm
sølvertoner	bringe
skog	strandet
går	hav
bo	have
fri	mere
land	Judea
vekt	stevne
bord	Middelhav
baut	hullet
bjerge	ned
hen	klager
skinn	lønn
strevet	søndagsmorgen
strenger	klang
ånd	minner
inn	stille
landet	betryggelse
glatt	sko
mer	tanker
kjøre	ei
gaster	havet
del	nøden
klang	døden
vår	blikk
fotefar	grunn
munnen	med
hast	fare
svinge	hender
nag	sted
natt	toner
slemt	hest
bange	råd
fjær	skjuler
våpen	runger
juleskikk	titt
Gud	evighet
vind	Hjorten
kamerat	republikk
frede	mann
tvende	krystet
grøde	viet
forskrekket	ly
takten	annet
alt	fjorden
inn	lenger
fjorde	tanker
stiller	sider
stått	levet
mine	pakkbodliv
til	holdt
litt	vover
før	tvinge
fot	velde
klamrer	vann
tempel	skimmel
blånen	med
forfølger	svart
råde	storme
stund	sten
april	feier
sinn	trenger
igjen	kirken
vandre	verdens-bulder
sogn	to
nær	vill
spær	korn
1914-SONETTENE	røde
fred	lender
glemmes	fjell
bot	tyst
bøde	forvrenge
jammer	sønn
ski	flyr
stammer	slanger
bringe	lue
enser	storm
rømme	selv
sikt	makt
klar	stunden
nær	larm
hammer	slaget
oppe	synger
blå	ser
flik	elvebredd
alene	kjøt
ut	stod
angst	næring
full	karm
torden	sang
rekker	marmorrene
ferd	betrygge
kummerfull	hjem
vover	hang
blu	natt
jekt	tørken
bak	hen
kjenner	ord
letter	kinn
ei	kirkedalen
blå	tinder
den	gro
trøst	hører
trommen	hytte
av	kraft
blankt	knopp
kvinner	derpå
slag	møye
ro	hjerte
flammer	slaget
mørkekott	fuglesang
være	lagt
men	flod
river	mildt
Borgen	kommer
synger	avskjedssang
slør	se
pretorer	land
så	sang
hjemme	folket
land	jager
pris	får
natt	polen
sten	får
brus	eie
bilder	vann
stemmer	fri
år	regjerer
tre	tukt
gry	smiler
kaller	vann
tomme	flokk
fordølger	klart
skjer	blomsterflor
nu	din
mann	øyet
røst	fjerne
øde	ed
fred	belte
fant	pile
smerte	forårsdage
1914-SONETTENE	solskinnsglans
sverd	kåret
kinn	dør
toner	gå
ny	stammer
støy	gatedrenger
forlatt	trelle
sne	vesteråls-sommer
...	fjerne
hest	trygg
bokstaver	hegn
tinder	glans
lønn	munn
faller	goder
vaner	støv
stamme	niste
svinger	hav
hverdagsfenomen	rører
øye	natt
vise	ære
grav	natt
høy	rand
demper	granelunden
matt	hår
netter	sti
sinn	spor
kjærlighet	gløder
halvmånestrand	inn
brem	tingen
Baal	vann
tanker	én
byen	luen
tegn	grå
ur	flak
rå	raser
forlatt	drog
forresten	betryggelse
Gynt	svermet
rundt	grunnen
hund	port
dør	rest
vente	stand
Hell	øye
slott	rett
stund	ve
frekk	kupler
skrevet	frem
arme	dag
vakt	sted
rast	fare
bluss	ser
kanhende	hånd
gå	ordet
sønn	stemme
flamme	Judea
pisker	dregg
ord	land
senket	kyst
blind	sten
under	hånd
nær	brenning
ny	se
lien	fjell
storm	fekter
første	kjøkkentrappen
eksempler	karakter
drager	deg
ned	gull
rå	sprang
dagen	nær
vrå	bindes
gamle	hund
begynnende	det
il	prakt
besvær	menn
føyer	gård
fjell	av
være	sterk
isse	sten
luft	fjord
frender	forglemt
trekk	vilt
hullt	fast
nypegren	vår
tid	hånd
blank	sjø
nær	løfter
hus	bygge
skjuler	brød
brynde	selv
tanker	forening
overflod	fornøden
glede	lampeskinn
blir	ny
mor	kåret
fyller	trylleri
engang	fått
dyp	mindre
strande	prakt
iblandt	skyen
knuger	øye
sagt	morgen
benket	især
dag	prise
menneskehender	rot
derinne	måkeving
kveld	blind
kloakk	mer
rand	kaller
brød	jord
hård	gaver
svenn	lyst
bryn	gikk
bønnen	beven
sover	vrak
veggen	pult
mareritt	befriet
lede	trinn
dør	jord
gård	hegn
harm	krevet
kjære	skjelver
rot	nogen
gjest	morderstål
trippen	gneis
flyr	forlatt
ødelanden	menneskekryp
gled	sinn
brutt	sett
strid	hans
ned	fører
skogpaulun	trilleslag
gru	kronet
pels	veve
LOFOTEN	øst
øyet	Baal
kaste	grunn
slotter	er
den	derved
blande	bevare
behag	omme
førte	stavet
glede	ord
kirken	art
skred	rørte
frender	navn
sjel	dåp
sorgbetynget	vover
grå	mur
vær	gro
liv	leie
skjer	gror
munne	akter
tvile	skygge
høye	gang
gang	rundet
stor	varme
prutte	vær
skinner	forstå
den	menn
kirke	trone
skilles	honning
kjerring-hurven	is
Sunium	Eginafjord
forsilde	ravn
fornemmer	eiermann
gjelder	helte
stund	tilkjenne
så	klang
hedenold	truer
priset	pral
dekke	finger
her	rike
hav	gråt
selv	nær
glemme	gjeld
sunne	kontrakter
høvedsmann	åpenbarer
slukkes	øye
forfektere	skapelse
ringe	nå
ro	betreder
sagt	foruten
når	binder
drakt	led
hedersmann	vandre
vår	funnet
kryp	sinn
forandring	sikker
ned	seire
hus	vandret
tukt	vinger
gave	snakk
sinn	blinker
røst	slike
synger	minner
så	skyen
brønn	kjærlighet
lammer	stund
på	igjen
høy	egn
ord	skatter
brød	metter
fatt	favn
ridder	just
slag	skjule
by	minner
står	millioner
på	bys
kvast	aker
land	stemme
fritt	finne
bokstaver	tegn
blind	trette
fjell	klippehanget
bak	menn
bor	flu
kyster	trang
runger	navner
less	lommen
jord	tenner
frem	bjerge
leie	skatt
vakt	rede
hvelv	høye
ord	bestå
gap	ren
lina	dør
vender	dør
drønn	jord
kjell	forstandig
redsel	lys
overflod	gjemmer
truer	deri
bak	lå
muld	stans
fjær	rammet
hendt	hu
sjøen	Nesoddryggen
forstår	klage
Soldaten	duft
kjente	bredes
svinner	øye
dag	ord
regimente	dom
kvinne	lykke
veke	begjær
beven	lempe
ikke	sønner
helsebot	sne
lange	fengselsmur
knopper	sogn
ditt	ende
vendes	krok
strand	hever
høre	full
brast	vann
bord	myr
dunst	på
vinker	forbi
strekker	marmorrene
fritt	Cæsarea
blod	støttestav
vinger	ut
stort	kost
Velg	vill
eie	bedrag
ro	topp
skinn	dag
harm	bevet
sans	krever
bedaget	samle
blandet	stige
jord	fare
is	spinn
bro	vingeslag
trøst	naturen
slår	ene
bunnen	ve
sinn	morderstål
sted	salt
alt	født
hotell	dirrer
ro	solmorgenrøden
folkeleikskjeder	tak
spill	tørn
hen	idag
druer	sterk
dagligdags	med
veld	ingen
tynger	tjene
stål	dog
kjenner	blod
tale	vilde
evighet	hendt
spinn	trykkes
håp	rike
matt	toner
liv	veie
fredet	pris
hu	hans
gave	trær
slår	musikk
lett	hode
dommer	land
trøst	tro
arnested	skog
fri	se
bar	gjennomstinge
fugl	stav
har	vinger
betvinger	skam
skjær	fisk
sus	prakt
trille	mer
jord	år
smil	inne
drakt	garn
gikk	inn
unge	beredt
svart	tjæren
indre	vide
tritt	daler
forandring	mile
makt	panne
stilles	dronning
han	sjel
skinn	varme
visjoner	spøker
strand	bjerker
len	Sand
kjære	faste
glemme	bord
land	blodet
skjer	finne
hi	ler
går	trang
rinner	strømmer
Hell	må
mål	korn
kinn	slippe
ve	blinder
blandet	himmeldrømmen
meg	brede
falt	larm
kryp	glar
kjenne	forvisst
rust	skiver
bod	grav
feller	vei
dalet	nei
tvil	tenner
lære	ild
gallopader	hvitt
fred	hvelv
ende	får
brott	levet
mur	ville
glede	haft
ringes	pjalter
runge	opp
dårer	nåde
møte	ord
like	bekjenner
bolig	det
dont	myr
Ola	laks
våker	foreskrev
frede	svare
glemmes	nær
ramp	skaren
røk	dem
fjær	klippeblokk
sol	seire
svake	lett
hånd	spille
skjød	vekk
prakt	nåde
forsvinne	natt
bro	døden
alle	se
sparer	sinn
havn	visste
søvnen	god
røres	forstå
lå	det
se	forgylle
går	hjem
fornekte	dør
sprut	kår
svar	ro
fot	dekker
kval	ryste
alt	hernede
flik	ned
bliv	stund
fornedret	bryst
løv	fatte
kreve	sæl
fakter	stå
hun	slag
meier	sne
lenge	så
tegnet	inn
hun	lom
