sent_a	sent_b	rhyme
For er kulden fortredlig med sjøskvett og sprøyt,	at fiskerne trygt kan på pliktene stå	0
og merker seg angsten  og pulsen som går,	Å være beredt på det tyngste er best,	0
blot havets besværlige ånde raller dumt.	Men ødet er tomt og stumt,	1
som henter han oss hjem fra Nord	det unge Norges unge lykke,	0
omkring din form med guder eller menn,	Og disse fløyter?r den ekstasens glød?	0
grønnes og gror i dager og netter,	rinner som treet av frøkornet opp,	0
mens kongens blikk	Profeten gikk	1
For hvem må ikke dra i tvil	Snart smiler der nok nye smil	1
Stillhet over leiren ruger.	ingen vet når timen slår.	0
Første gang om kors og død	Akk, i deres varme bringe	0
Det er riket som kommer hun ser i et syn,	Motivet er livet i sjel og i sans,	0
på fedrenemål og med fedrenehu,	Og fjellene selv roper langt hurra.	0
for meg så lite gjaldt;	å bli tilfreds med alt.	1
og nå skal sorgens lange år få ende.	De slappe strenger stemmes skal på ny.	0
Jeg fanget en tone av bruset i mitt sinn,	den vokser med hver dag, og jeg kjenner	0
holdt av menn som skamløst og frekt	bratt hennes skjensel og nød fikk ende.	0
Og hver åkerteig inn mellom gjerdene lagt,	det er voksende krefter av folkets makt,	1
Og er det vel ofte langs fjellene armt	i grønnsvær av bugnende bregner.	0
vintren strødde så fager drøm,	gjennom de lange døgnene	0
med dommen over deres eget hode.	Jeg selv er ren. Det rikes gylne kår	0
solen og månen drysser	når du ikke meg?	0
dra ubegrått sitt aller siste sukk.	Selv om dets stigen virkelig er smukk,	1
Når skipet en vårkveld sin landkjenning tar,	for skøyte og fangst, som for skipper.	0
lokket min fot og dåret mitt sinn?	. hvor bunnløs den er, den rører ei ham.	0
trellefolket underlagt ?	gi seg — og la folket fare?	0
Man roper fra stund til stund	Men ødet er tomt og stumt,	0
det første skrik over været	ut over holmer og vann,	0
Ha, for denne griske flokk	Ti og gål Og aldri mer	0
med sitt lyse syn på verden,	ordner, bygger og befester,	0
Vi er dog ditt verk, du selv oss kjenner,	Mett oss med miskunn når morgenen kommer.	0
Så må han dø! Så kan jeg ramme	den gamle seer med det samme.  —	1
ham, den Ene, som er kommet for all jordens nød.	Og tross folkets hån forkynner han med vanlig glød	1
på den hvite sanden,	havet gikk og sang	0
var tiden ophørt. Det var evighet.	God tid jeg gav meg. For som dere vet	1
Det koster å løfte fjordenes arv	Det koster;  men den som kan det, blir mann.	0
«Se dette er min sønn» det lyder,	i hvem jeg har mitt velbehag	0
Den springer til værs mens i lyset den snur	i dansende folkeleikskjeder !	0
skjærer med vanvittig villhet	Mengden skremmes, ti han går	0
Slunken kommerkua	Når skal dette være omme?	0
Og langsomt låste jeg min perleport.	Min dag var slutt. All dommens gjerning gjort.	1
seg formet som voks i Pauli hånd.	Hans barnlige sjel, hans higende ånd,	1
gror langs bredden av din snekkes ly.	Der er dype bukter	0
det er Hans Majestet Proletaren!	Men se på dem, prins, ja betrakt denne skaren:	1
Nabot? Han er vel forvaret.	Opp min venn! Besøk din have	0
Han fører dem ut av den skidne hule	han tvetter og binder så godt han forstår.	0
tapte lengst trua	Gamlefar i stua	1
Verket vokser. Fulle hender	Barnabas av jødisk blod,	0
Hvem skal råde, hvem skal lede,	Og en håbløshetens mare	0
Det er første gang hans øye ser Europas kyst, 	nye, sterke lengsler vekker synet i hans bryst.	1
gjennom stadens skidne streder	skriker: «Sten ham! Vi er fri!»	0
stod vestenværet fra en salt, ung vår.	Sol glitret over bølgene i lek,	0
som rammet da den blide dal	der pesten herjet streng og hård	0
Og videre så mælte hun:	og jeg ditt hjertes varme slag!	0
År er gått. Men Paulus minnes	at der nok iblandt kan finnes	1
Én de priser. Én alene.	Se hvor de er fromme, rene	1
og litt kløkt og plan i spillet,	for å få sin attrå stillet?	1
Ja, det er godt at være støv og jord.	Så er det vintermånen vel som lyser.	0
Som får för vi vill, alle som én,	ei noen for Gud var skyldfri og ren.	1
Svar meg, kong Achab, hvem gav deg seir	hvem førte din ære til fremmede lande?	0
har fossene strammet med sølvhvite bånd	det synger og svarer en sang i deg selv,	0
om å kaste åket, slite tømmen,	flyve fritt igjennom alle sfærer,	0
Men inne i fjæren all vinteren lang	så vannliljehvite de dukker.	0
o da skulle din glede fra dønningens brem	lik villanden lette på vingen!	0
nå ble det ham de skjulte veie	for livets rike stråleflom;	0
ligger i et brennpunkts gløden	jordens mesterverk: Aten.	0
Her m å han, om han nødig vil,	gudsrikets væren står på spill.	1
Armen, som hun nettopp hevet,	gjennom natten, tett og sort,	0
nå baklengs mer? Nei, år for år	hvem makter vel i veien trede	0
På Ceylons plantasjer, i Kaplandets gruper	flyr ropet fra tusener struper.	1
ut til landets siste grenser: 	Gud har sendt sitt arme folk 	0
hvordan de hin Nasareer	kan få bort på lettest vei.	0
Deres diktere har rett:	Dårskap er det da å mene	0
hadde trofast sammen delt.	mellom to som hittil helt	1
og dertil en skare av smukke slavinner	som hisset av vin og frekke viser	0
Ti hans er makten allevegne,	han råder for naturens luner,	0
mørk og tung i hu som før.	Ta den som din dronnings gave,	0
Videre livstoget drager,	En blant de høyeste rager,	1
lå gjemt som min erindrings skatt,	Den blide egn som var forlatt,	1
Kun et ord har brent seg inn	i hans syke, mørke sinn;	1
han bær ham til sitt eget kammer.	fra sjelens dyp et stille skrik.	0
Tenker som så: Hvor en det er,	han og du er det alltid nær;	1
Guds alterild kun blek og matt,	blir aldri dog et jordens kryp.	0
skal dommens fortærende flammer brenne.	Galileal Ve deg!l Din dag er tilende!	1
og norske nymfer i de norske kipper!	med stoffet norsk i sjelen og i drakten	0
som sjelen i sin Gud fornam?	seg selv til evig last og skam;	1
mellom markens blomsterklynger.	Brusende dens kilder synger,	1
Folket var fattig, og veiløst og vondt	pustede surt på det vesle bestyr.	0
Han stanser ved barnet i sanden	så kroket av oldingplager.	0
Etsteds skal sønnen fare,	med øyne blå og klare	1
hvor dagen var lykke, hvor natten var fred,	hvor fjellene skinnet når solen gikk ned,	1
Han som her i blodig svøp	Et bedrag? En drøm? Et skinn?	0
vil følge deg inn i salongen,	bestemmer la mode for sesongen.	1
Forferdet erfarer stadens pretorer	sin mesters tjenere — merket som han.	0
Nå jeg vil Din dag skal rinne.	Nå må deres bundne sans	0
Og meieridriften og hjemlandets vin,	I dag blir din prosa til dikt og musikk	0
Som ørnen, som i kampens vær	i fluktens stolte, ville jag,	0
Si, hvor lenge i tid og i rom vil de gjeste	Evighet, hvor har du hjemme, himmel hvor er ditt feste,	1
ut av lysets flom,	som drømmen hvorfra du kom.	1
adventsdage	halvt tilbage,	1
Det lyste som om stjerner i hvert vindu var satt	til mitt drømmerike her nedi fjorden.	0
Og smertene luer	så natten blir klarere ennå enn dagen.	0
og gjort min lengsel til lykkens fange!	hvor har den fyllt meg med sus og sange,	1
Der flyr det alt imot ham et par jernbeslåtte skor!	ikveld har Kalsen aldri møtt på noe hav han for.	1
har dog en listig talismann som maner	fra ridderlivets ærefulle baner	1
Så tilfjells hvor toget bukter	seg mot høyden, skritt for skritt,	0
Hans følge ham ledet, fortumlet, forskrekket.	de søker for seg og sin herre ly.	0
Jeg møter en gamling i filler,	Han stanser og ber meg å gi	0
Når siden du kommer med flere menn,	er han slitt itu!	0
alt det liv som seg på dekket rørte,	Men jeg som satt og talte med havet	0
hvor barndomsminnene smiler,	et morshjerte banker, som alltid det gjør	0
fredløs niding tross han nyter	En forræder kaller vi ham,	0
Og bleke luer selv i visdoms haller	fram velter glemsels sørgelige floder,	0
hvori din sølverne tone den slynger.	høyt i det blå,	0
og han kjempede til døden	for vår æres helligdom.	0
i formiddagens pålandsvind.	Snart stryker hele flåten inn	1
det åndens taktslag i den minste gjerning,	kan ene fylle samfunnslivets revne.	0
Og lenger i landet fra snebre og fonn	mens skogstjernen tindrer langs stien.	0
en Gud i verden, i menneskevrimlen ?	Han visste det ikke. Han følte kun kravet,	0
men helst den ferdes ved juletider;	og farer den larmende bygd forbi	0
løftet dem langt fra sorg på jord:	tro kun på Gud og tro på meg	0
hadde håpets lysskjær slukket.	over vennens liv var lukket.	1
et forkle du kledde så godt!	Når a Paula kom plystrende hjem klokken fem	0
Er paktens bue sønderrevet,	en smerte, sviende og svar.	0
Og timevis stod øynene åpne der vi lå	for første gangen inn i en stjerne!	0
Men himlen var klar, og luften tørr.	Og om igjen bad han, på ny og på ny.	0
Uferdig ennu, ja, men dog en bolig,	Et svare slit, javel, men moro var det!	0
Her var ei stengsel for hans fot —	og i naturens stille velde	0
Mose herskerstav med ære.	Arons ord vil folket lyde.	0
der luften ei er meget mere mild	kan bære frukter, og gi fargespill,	1
Og når Jesabel lot slakte	Guds profeter allevegne,	0
Ti av ham den minste preges,	lever, ånder og beveges.	1
Prøver så fjellene sette ham fast,	Mot ham iler i skumhvit hast	1
men han hadde fe i båsen,	var en tverr og uglad mann;	0
I byen skal du lære min vei å forstå.»	i svaret fraoven: «Stå opp og gå!	1
Ør av lykke han beskuer	Jesabel har megen ære	0
Peter roper:  Spar deg selv !	Dette skje deg ingenlunde!	0
en seng for deres hjertenskjær.	sin rosenseng av dine tanker.	0
«Var røsten hans? Så feilet jeg.	Guds offerprest jeg skjeller ei.	1
Der er fire manns mannskap, med høvedsmann fem	Og når oppsynet heiser den blodrøde klut	0
Fra det siste hvilested	vandret først ad øde sletter	0
kom vi alle opp i takten,	Vinger opp til Bergenstrakten,	1
hvis steinbringe sollyset varmer.	Og fjellslåtten vokser i lien så grønn	0
Vokteren' styrter med. 1vs derinn,	og strekker imot dem de skjelvende hender.	0
Og seiren vil falle de sterke lett,	og stamme har reist seg mot stamme.	0
og han kjempede til døden	var den eneste som kom,	0
storfelt, men svai som en sabel.	Forsluken og doven, tyvaktig og grisk	0
fordi nå nylig var en del av mine dikte	Så kom De inn på bøker som De likte	1
Godt mot, du vandrer på kirke-vei!	Du bér for dine, for mine jeg;	1
Og de går i flokk og klynger	resonnans i alles sinn.	0
han hørte hva hun sa til ham:	fortryllet, rolig som et lam,	1
Verket vokser. Fulle hender	greker dog i all sin ferden,	0
Og la meg høre fryd og glede,	til harpens klang din pris som før.	0
kun redde blikk og hundeglam,	Ved kjente hytter møtte ham	1
At ei selvstendighetens ros kan vinnes	fordi man sitter berget bak en mur,	0
et evig hungerskrik fra ravneunger,	hver gang sin egen kontrafei han favner,	0
Sjøens speil, 	hvor hans seil 	1
La den stå, det stakkars skrammel,	vi har fått det kjært.	0
Når sprøyten står om rev og skjær,	For fisken blir nok der den er	1
Vintrens makt forlengst er brutt.	svøper seg med kjælen ynde	0
Og dog — han skal nå sitt svimlende mål.	det hellige sinn som kan ofre og miste.	0
hvor luften ikke toner blødt og blidt	av fuglesang, men cirkelsager hviner,	0
og styrkens drømmeløse mot?	om slekten vår: den går på ski!	0
Vokteren selv med undren stor	forsvant som barnets for morens smil.	0
slik har det fra urtid gravet	de harde sten til grus,	0
Derfor er hans nei bestemt.	må ei skjelve for en skygge.	0
men allikevel jeg tror	svunnet er vår gamle makt.	0
Nå jeg lukker til.	Tonerne tilbake trille, 	0
Her slynget han mot folk og land,	«Jehova er idag den samme	0
Således stod jeg av meg selv forlatt,	og sakte grep meg altets tyngde fatt.	1
skjønt folket i snegammer lever !	hvor Grønland av havet seg hever.	1
så er det sjelden mer enn en.	som sluker alt de ser.	0
Og om igjen bad han, på ny og på ny.	Da reiste han seg — Gud hørte hans bønn.	0
Hvert strå har en retning som peker mot meg,	Men du som vil være på åndenes vei,	1
For deg skal folk og konge bøye kne —	min gudemakt jeg gir i dine hender.	0
fordi man sitter berget bak en mur,	til sikkerheten i et snevert bur	1
de faller begge to i mange stykker;	en puddersky fra fedrenes parykker.	1
på trette ben,	av sotet sten.	1
som virker, lever for sin blomsterskatt	og hever blomsten freidig imot solen.	0
Men jeg som satt og talte med havet	Vi får vist et drag av nord . ..	0
Da sitter du trygg selv i stormstøtets gys	og reiser en stjernebro gjennom ditt sinn	0
og si dem at vi venter så på dem	«til våre søstre ved maskin og bord,	0
knuser denne mørke tale	brenner dem som ild i barmen.	0
Og hvor han sin fot enn vender,	i de skjønne, stille dale;	0
Han var så trett og tung i hu.	O tør jeg våge meg å bede	0
Aftenens dulmende ro seg breder	samles som vanlig i skumringens stund,	0
den lengsel som stiger mot Gud	og jeg tror  finner vei til.	0
som fyrtårn kun,	Her er svikfull grunn!	1
Og når nattens mulm beskytter	strør sin glans på fjell og sky	0
et sekels livsstrøm banker i hans hjerte.	og hever mannen over egen smerte,	1
når han enn en gang Filippi skuer,	sådan Pauli sjel i glede luer	1
fikk sin grav mellom tangklasens roser,	i en kirkegårdsmark hvor vel ingen kan gå,	0
Å herre, deg miskunne,	til deg som kan bevare	0
og snart under årene hugger de frem	da legger de kursen mot feltet ut	0
hvor solen bare har en times frist.	en skog med kvaeduft fra bark og kvist.	1
du hører Olavskilden rinne	Og mens det store, fjerne minne	1
for min fot på marken ligger	Et bedrag? En drøm? Et skinn?	0
Jo, det sikreste. Men svikter	selv i fangens ledebånd?	0
går Paulus og Silas sin vanlige gang,	Grepet av skurker, bastet og bundet,	0
som lå tusene tomtønder strandet;	milevidt ut innover landet.	1
den halve verden tappert vi «beber»	vi pukker på en kraft hvorav vi kues.	0
hvor fortaumen deler all storlina opp	en meter fra feste til feste.	0
«Aldri mere jeg kan få ro.»	ja, hver jeg hadde nært	0
Og i syk og karrig jord	til selvstendighet og ære —	0
Det er småsild som farer om kystene vill,	men fetsilden det er vår nordlandske pryd,	0
Hva gjør meg dog verdig til sådan ære?	«Det var kanskje best at jeg slapp å tale —»	0
Skyene velter forbi.	Og stjernenes klynger ler	0
og vinduslemmer blå.	er klokkeklang	0
Så langt bak i tiden jeg kjenner	min ætt  er det folk som har slitt.	0
Da stimlet kvinnene sammen i klynge	de stod ved høysætet innestengte.	0
Entusiasmen trekker deg ved håret:	«En rojalist, en venn av despotiet!	0
Hva er vel for ham et menneskekryp?	Hvem kan ham hjelpe? Hvem kan ham hindre?	0
Dog — leiet ei skjenker ham søvn eller fred.	én skjærende smerte gjennom hans sinn:	0
give du meg.	bor i de evige ord:	0
går veien hurtig dag for dag.	i øst en mektig tinderad,	0
da sel en ukjent kommer. Skjønn	Den friske vind fra østens lande	0
Jaget som vilt av de rasende prester,	søkte han ørkenens ensomme spor.	0
Skal da hele livets sti	av en enkelt brøde flenges?»	0
Det var ikke mye til kar han var	en fiendes surdeig med neven bar	1
endelig den store time,	gjennom skuffelser og sorg,	0
Har stormen fylt ditt sinn med skrekk,	Men du, min tjener! Dine trekk	1
og varmer de bristende knopper.	og stenker sitt lys i den blomstrende rogn	0
Da oser mørket atter over byen,	der siler stjernelys igjennom skyen,	1
Der gror den tette fjellmorbusk	og sørger med sin sølvgrå dusk,	1
på trette ben,	så er det en	1
Ham de fant, som alle vise	og profeter pleide prise;	1
løfter seg fjernt hvor kvelden står blank	på den svarte og stigende sjø!	0
til New York, Medina og China.	der kunngjøres poster og falbyes kjør,	0
Og huset vokste under deres hender,	og riktige og støe regnvannsrenner,	1
Vinteren drømmer,	tør hun ei møte meg mer?	0
når jorden skal vendes for plogmaktens jern,	Jeg ser alt de gårder som reiser seg der,	0
vansiret av laster, sykdom og sår,	Hans hjerte blødde ved folkets kår:	1
engang vil minnes,  da du også, fader:	av bygdens arbeid eller sagas rader,	1
Barnabas, den vise, ømme,	mildt. Den sterkeste er svak.	0
Eller er ditt hjerte fylt av harme,	over Israel, det usle arme,	1
En eneste lidenskap brenner ennu	i de tuseners barm: det er sultens gru.	1
er det mer du vil?	Aft'nen er så varm og stille.	0
til hans venner, hans utvalgte	Og hva mere: De ble kalte	1
der hvert et bilde halvt i drømme raver,	den hele lamhet i vår dåd og tale,	0
Deres buk blir mesket og rund	ved brød, ranet fra enkers munn,	1
forstummer, og bølgene synker som skridende jord.	Og skygger på havet går	0
den om dine milde øyne	og de tause ord	0
Stilhet og drøm hvori ingenting skjer,	blot havet som vandrer, blot havvindens sus,	0
Men da siste toner døde,	ble det som et dødens øde;	1
vem venter her å finne øyet vakt	Men praktisk frihet er med hin i pakt,	1
til snakkelystne presters gammen.	Slik trusel var jo god å finne	0
«Vær uten frykt i all din ferd.	til konge over Israels hus.	0
Men helst vil jeg høre når fiske tar fatt,	og gledet mang kone og jente!	0
Her ligger det ennå det første kyss	og hjertene hamrer som ravet de nyss	1
kun om gustne lik meg minner	blodets brusen, het og vill	0
du ferdes trygt, hvis du har tro.	du har en Gud hvis øye våker,	0
mens garnbruk og liner skal bøtes,	til hjertet med salmene møtes!	1
hvert trekk i livets billedvev.	en Gud hvis visdom foreskrev	1
Der steg fra massen en undertrykt støy.	og ovenpå vedlaget offerets kjøt.	0
sender rundt til rådets menn.	Fluks seg alle samler;	0
Fortidens store står rundtom, knapt kjente	tonenes offerdamp tåker og spredes,	0
Da grep de sine redskap. Fliser føk	I feberlengsel grov de helten frem.	0
En kjempekalk så hvit som skum og sand	og folder mektig ut sin stille brann	1
ut over byen og åsene bak,	ut mot det fjerne, hvor solskyer lå	0
Elias har ventet. — Timen er nær!	I aftenens siste svinnende skjær	1
de fleste har ei hva min hu	litt er for flyktig, litt for kort,	0
Jøder, uten jødens skikke,	betleren isine pjalter,	0
En mil ifra Stamsund, så går'! du i Hol	hvor engenes gullblomster blunder.	0
de gamle skrifters dyp på ny.	Og se  av ørknens tørre sand	0
Men trollet gjorde seg blid om litt	og sa så ved fartens ende:	0
dit når vel ikke kongens pile.	som grunner på Guds bud og skikke,	0
og hammersdslag i fjellets stillhet rammer.	Av vareballer flår man seildugshammer,	1
og overskue landet som du eier:	med femti centimeter brede kongeveier!	1
dveler om Mesterens minne fortrolig,	samles som vanlig i skumringens stund,	0
Og han slår  hver sønn som folket fødes,	uten skånsel må den spede dødes,	1
fra livets dådsprakt for oss selv.	To kroner koster livet oss.	0
Og meieridriften og hjemlandets vin,	de byder til fest  og festen er din!	1
til ungeflokkens store fryd: «Hå, se på akrobaten!	Og virkelig  han undgår flott den lumske rennesten.	0
Det var på dypet av vår store by	Vi pleide drive om fra kveld til gry	1
og hagens frukt kan ei fra markens skilles.	og kaken nydelig i kuben stilles	1
Og Isais sønner, de eldste tre,	til slagmarken følger —	0
så ikke den skal hindres i	og klipper druestokken fri	1
der siler stjernelys igjennom skyen,	og havnens helvete ligger slukt og stille;	0
Nå er mengdens ro forbi.	for ditt vanvidds milde dyder.	0
Å kunne så sant jeg komme ham nær!	Berøre hans kappe, kysse hans stav,	0
og brystet selv i ulvepelsen gyser,	og selv dets åndedrett i luften fryser,	1
Gi meg de rene og ranke, de faste og sterke menn,	og selger min store tanke, men kjemper til døden for den.	1
Hva meg der skal times ingen kjenner.	hvor jeg ferdes, at blandt mine frender	1
Så tegnet Jesaja Jehovas tjener.	For selsom likhet! — Guds blødende lam,	0
og angir tiden nokså fritt.	men klokkespillet knirker litt	1
Og la så være at det kostet gru	Men ingen fred	0
Kun mennesket, hans skapnings krone,	og rev hans bilde av sitt bryst.	0
Er paktens bue sønderrevet,	i livets bok fra evighet?	0
Jeg byr dem livets lyst som kom,	Min sorg, min sorg bad ingen om!	1
som et spill, en dunkel gåde.	søkte meg min ånd å råde;	1
av det hans ånd ble aldri trett:	fikk åndens sterke, stille dåp.	0
her på jorden skal mitt ansikt se.	lang og kvidefull er jordens ve.	1
som treller for gull på Amerikas jord,	om hjembygdens kirke og gårder !	0
Det hadde vært den sikre klippe	Og under Herrens vise tukt	0
Ditt liv var løvspring over øde fjelle,	Du stod som høvding mellom døgnets trelle,	1
derfor skal min vrede gløde	Det har egget meg til strid,	1
hvor ble deres fører av?	Men forgjeves. Folkets fører	0
Oskoreien i fylking rider	og farer den larmende bygd forbi	0
Og bronsestakittet var revet.	hvor engang min drøm har levet	1
som toner til salmenes palmesving	Så sang han seg inn i den klokkenes ring	1
Forvisst, det er ei høvdingånd,	i feighet samme sak fornekte, 	0
vi skimter foran oss en mann.	vår fremtids land	1
naturens barn med våkne sanser	Et øyeblikk profeten stanser	1
men lå som en trell for din dronnings fot.	er landet en ørken, øde og tyst:	0
og lokket oss alle i døden.	he r ingen oss redder fra nøden.	1
Dit stundet han stadig. Og visst var han glad,	visst jublet hans sjel i den store stund,	0
Den sattes i stand, og den sattes ut	hvor løven stod.	0
hvor straumfaret hvirvler fra morgen til kveld,	vel stråler nok fjellet, men heller du må	0
det som stiger opp av det som dukkes,	det du så og som bedro ditt øye,	0
sitar og fløytespill.	jubler en sanger til	1
sett hvor dets tro var svak i prøvens brann,	De slappe strenger stemmes skal på ny.	0
nylig steg som stormens brus.	evig over Davids hus,	1
men det gjelder å få tolket	klart kan innse rådets rett.	0
Så trådte de frem og tok fatt med bønner,	og ropte: «Bønnhør oss, bønnhør oss, o Baal!»	0
Selv Egyptens trollmenn bever	skrekkslått de for kongen står:	0
jeg er helten aldri falt i krigen,	aldri fastholdt og dog evig bunden,	0
når ærfuglen hekker da kommer hun glad	de uker hun ligger og ruger.	0
i Gud å vorde skjønn og rik.	som Gud har villet oss bevise.	0
Jeg hører, som bekjent, til gatens ætt,	vårt avkom gror.	0
i himlens rund, i jordens egne,	han hersker over folk og land,	0
og ber dem lytte.  Med ildfulle ord	fra tidligste år til gudsrikets komme.	0
Aner han styrken av kommende storme,	bever hans sjel for den kommende kval?	0
Sådan en gjerning vårt selskap har gjort!	Folket var fattig, og veiløst og vondt	0
der gikk der en vårdag en ung Peer Gynt	Han stod der om kvelden bak vinduets glugg	0
Ja, der lå byens vest med stille gater	og lyse hus imellom blomstertrær,	0
Og tenk, o hjerte  når du ånder med	med latter, drøm og smil fra venn til venn,	0
Du tier? Ja vel. Så skal det være.	For jord og for himmel, vær trygg, min kjære.	1
ti slukt er den hellige flamme.	og stamme har reist seg mot stamme.	1
Det er ditt din egen arv,	dertil av deg selv bestemt —	0
der innbyr sagnet deg å dvele	og bringer deg den klare drikk.	0
hvor kystens vintervær fra evigt bor,	en veldig tone dirrer dyp og ru,	0
mot vest av sletten rolig løfter	og går til ro i gyllen glans.	0
og hele ens hjerte må kime	Og ikke få sove en time,	1
Og du vil rase over dine kår	Men ta det rolig, kamerat. Det går!	1
men spentes i en bue.	for lykken hadde hesten kjær,	0
den himmel er, der kuldegusten segner.	Hør aftenbrisens sukk når dagen segner,	1
Eer, over alt som splitter og krenker,	den store taushet seg dulmende senker.	1
en summende lyd av menneskestemmer.	Timen er kommet, da menneskens sønn	0
denne dag og dens evige tone,	det var som den tilhørte dem!	0
og fryktens mørke syner	fra sjelens grunne steg.	0
og natten er sval og lind,	i drømmens féverden inn.	1
en klosset klingklang mellom Thules folk	der barnet ramser opp en skokk tirader.	0
sin vekt over havspeilet lette,	til tanken forløst fra de jordiske bånd	0
mens natten glider forbi,	ad havbunnens banede sti.	1
og nå skal sorgens lange år få ende.	og hver og én skal Herrens godhet kjenne.	1
til halve Europas fortæring.	og passe sin plikt og sin næring.	1
må se hans herlighet.	hans veier ingen vet.	1
sterk du stod, hvor andre falt.	stråleglansen om din tinning	0
Og røttene rører seg i vårjordens muld	og ja stemmer sølvbekken i.	0
sin vinge i ætern og til oss de når,	som av nære og hemlige makter !	0
som svar på dette:  hvorfor livet leves.	Du levet det dog ikke helt forgjeves.	1
har han ligget — akk, han stinker!»	engstelig dog Marta vinker,	1
min tilflukt og mitt håb i liv og død.	utslett i nåde alt hva jeg forbrød.	1
Og om vår synd er stor og svar,	Den hjelp som han i hende har,	1
Den korte sommer er snart et sagn	til drømmefisket som snart er inne.. .	0
Men ofte og skjult i en vik eller fjord	der ser du med undring de byer som gror	1
Mot de gylne kupler knuser	solen spyd av gull,	0
Når ølet virker i bjelkestuen	da går det et gys gjennom flokken titt;	0
Og tidens hus vil falle	for disse bølgeslag,	0
i den forslitte, usle drakt.	«Frykt ikkel Gå kun til din bolig	0
han maler Guds nådes lysende spor,	hans veier og vilje, hans tanker og domme	0
De slepes over heden i regnluft og i vind;	de stinkende ladninger til fiskene og krypet,	0
Mine prester, dere er verdig	Endelig! Så er vi ferdig	1
en fjellets ørken for meg lå.	Og veldig, vid, der øyet så	1
Dønningen går som musik gjennom vannet,	løfter og senker det mektige hav;	0
De er over fjellet,	imot graven ner.	0
og gny av sjø og vind.	gå vakt og sovne inn	1
og styrer en milelang kurs for sin staur	Ved styrvolen sitter så modig en maur	1
Er da Jehova ei lengere sterk,	Fins det en brist i den Eviges viden,	0
i tingets sal, for skranken, i skolen, i kirken,	fra Heltberg deres ungdom gav høyere fart.	0
«Foraktet han var av menn, og forlatt,	alene han kjempet i angstens natt.	1
nettopp som gytningen skal til,	å blåse ånde av sin ånd	0
som stevnet inn for vindspent klut!	på moloen og speider ut	1
halvveis seerske, halvveis slavinne,	Der fantes i byen en stakkars kvinne,	1
Ja, så var hans tro. — Som en forårssang	dets rygg var krøkt under jernrikets vekt.	0
skal brødrene finne sin halvglemte bror	Fra øst og til vest, ifra syd og til nord	1
sol-røk i hallen av fosser og skodde,	Det koster inn under så høye hvelv	0
eller pusse eller skuffe inn i kjelefyrens ild!	er du konge for en dag og kan bestille hva du vil.	1
Av bønner som bedes, han hører kun dem	som fører hans verk mot fullendelsen frem.	1
her heller fra lien halv hundrede mål	ut mellom de dypskårne grøfter !	0
er ei kappens snitt, ikke skallets form.	der høres ei larm av trommer og horn,	0
den usle drott i kne kan tvinge	og svøpen over folket svinge.	1
Paulus står på klassisk grunn!	snart i marmor, snart i sten,	0
Men i mange, lange dage	Moses med Jehova strider.	0
ditt bilde lyser over slekters hav.	min diktnings krans med takk for hva du gav.	1
i den dystre, øde stillhet	Tyss i ørknens mørke villhet,	1
lå oplagt under verftene med sønderflengte rigger;	og mellom deres tofter fløt tang og gamle toller.	0
For svarte jorden lå så dypt der nede	med dulgte smil i sine mørke blikk?	0
og langt inn i vårnatten vandrer jeg gjerne	og vårhavet velter i vårkvelden inn;	0
Regnets brusen er beviset	for hin frekke løgners pral.	0
Den store hvite sky er skjønn	og skjønn den mørke jord.	0
til neste gry.	i nattens ly,	1
til engang dere ser hva Gud formår,	som jevnet deres vei til det siste.	0
Gjøgleren må betle brød, 	tryllemidler, amuletter,	0
Ord til ord seg langsomt spinner,	så tilsist hver tvil forsvinner.	1
Nei, hvor blir du dog av, du, som river itu	og kan jage til havs all den pest-syke gru	1
I Filips hjem, ved Filips bord,	Et havblikk foran stormens brus.	0
Hvor mangen stymper tror ei han har merket	det lettest grepne trenger fram og bjeffer,	0
Du vet min vei  du vet mitt bud.	Hvorfor nøler du? Er jeg din Gud?	1
som smugles inn ved feilgrep eller moter?	Hva er vel høyt, og hva er falske noter?	1
i kamp med de ukjente x'er.	da kunde han nok sine lekser!	1
så jeg fikk se en brending spys	ifra en skygges fang	0
som har pekt på veien frem,	villet kverke alle dem	1
Jeg ser vår led en sommerkveld	sin midnattsfarve maler.	0
kan forandre Herrens skikk.	løser oss vår skjebnes gåde.	0
ei minste lyte var derinne	her kunde noen mén ei være,	0
som i sanndruhet søker sitt like.	som legger provinser til riket!	1
Ildprofeten stolt sitt hode hever, 	smilet spiller om hans strenge munn.	0
Her sankes ei i naboskoger brenne,	Hid rekker lyden ei av fårets bjeller,	0
men kun et fillerov fra lysets faner,	ei heller kvasse, blanke partisaner —	1
En utvalgt samling av pyntede slaver,	med halvnakne lemmer og sminkede kinner,	0
den hele lamhet i vår dåd og tale,	er mørke spor av fedrelandets dvale.	1
Og hvor bittert det enn er,	må jeg dog hans grunner hedre:	0
Skipet dreier skarpt om klippebjerget Sunium,	rid den yndefulle, glitrende Eginafjord.	0
Norge, som lå der så fruktbart og stort,	Du kom som regn til den smektende vår!	0
rinne over gudeborgen ?	av Guds pris fra Hellas tone?	0
- Hvem frelste mitt liv? Hvem våket vel over	kisten som fløt på Nilens vover?	1
Jeg har vært innestengt i berget lenge,	det har jeg hele tiden stolt så trygt på!	0
